ID	Value
TMAD3001	நடமாடும்\JJ நாட்டுக்கோழி\N_NN வளர்ப்பு\V_VM_VF .\RD_PUNC
TMAD3002	வளர்ப்பு\N_NN முறைகள்\N_NN :\RD_PUNC புறக்கடையில்\N_NN கோழிவளர்ப்பு\N_NN முறை\N_NN :\RD_PUNC மிக\RP_INTF தீவிர\JJ முறை\N_NN :\RD_PUNC மிக\N_NN தீவிர\JJ முறையில்\N_NN இறைச்சிக்கோழிகள்\N_NN மற்றும்\CC_CCD முட்டைக்கோழிகளை\N_NN ஒரே\QT_QTC இடத்தில்\N_NN வைத்து\N_NN அதற்குத்\N_NN தேவையான\JJ தண்ணீர்\N_NN மற்றும்\CC_CCD தீவனங்கள்\N_NN அளித்து\V_VM_VNF வளர்க்கப்படுகிறது\V_VM_VF .\RD_PUNC
TMAD3003	தீவனத்தின்\N_NN செலவினம்\N_NN கோழிவளர்ப்பின்\N_NN 70\QT_QTC -\RD_PUNC 80\QT_QTC விழுக்காடுகள்\N_NN இருப்பதால்\V_VM_VNG ,\RD_PUNC நாட்டுக்கோழி\N_NN உற்பத்தி\N_NN செலவீனம்\N_NN அதிகமாக\RB இருக்கும்\V_VM_VF .\RD_PUNC
TMAD3004	தீவிர\JJ முறை\N_NN -\RD_PUNC உலாவு\N_NN தளத்துடன்\N_NN கூடிய\JJ கூண்டுமுறை\N_NN :\RD_PUNC உலாவு\N_NN தளத்தின்\N_NN உட்புறத்தளம்\N_NN ,\RD_PUNC காரை\N_NN ,\RD_PUNC மண்\N_NN போன்றவைகளால்\N_NN நிரப்பப்பட்டு\V_VM_VNF கெட்டிப்படுத்தப்பட்டு\V_VM_VNF ,\RD_PUNC பசுஞ்சாணியால்\N_NN மெழுகி\V_VM_VNF விடப்படும்\V_VM_VF .\RD_PUNC
TMAD3005	மழைக்காலங்களில்\N_NN தரை\N_NN ,\RD_PUNC நனையாத\JJ முறையில்\N_NN பாலிதீன்\RD_RDF அல்லது\CC_CCD உரச்சாக்கு\N_NN மேற்கூரையாகத்\RB தற்காலிகமாக\RB மறைக்கப்படும்\V_VM_VF .\RD_PUNC
TMAD3006	உலாவு\N_NN தளத்தின்\N_NN நாற்புறமும்\N_NN அதனுடன்\PR_PRP இணைக்கப்பட்டிருக்கும்\JJ கோழிக்\N_NN கூண்டுகள்\N_NN அருகில்\N_NST வேப்பமரங்கள்\N_NN வளர்க்கப்பட்டால்\N_NN நோய்கள்\N_NN ,\RD_PUNC காற்று\N_NN ,\RD_PUNC வெயில்\N_NN என்பனவற்றில்\N_NN இருந்து\PSP கோழிகளுக்கு\N_NN நல்ல\JJ பாதுகாப்பு\N_NN கிடைக்கும்\V_VM_VF .\RD_PUNC
TMAD3007	பாம்புகள்\N_NN வராமல்\JJ தடுக்க\V_VM_VINF நாகதாளிச்\N_NN செடி,\N_NN வசம்புச்செடி,\N_NN சிரியநங்கை\N_NN மற்றும்\CC_CCD பெரியநங்கை\N_NN செடியையும்\N_NN ஓரமாகப்\RB பாத்தியமைத்து\N_NN வளர்த்தால்\N_NN நல்ல\JJ பயனைத்\N_NN தரும்\V_VM_VF .\RD_PUNC
TMAD3008	கோழிகள்\N_NN சில\RP_INTF வேளைகளில்\N_NN கீரைகள்\N_NN ,\RD_PUNC பசும்புல்\N_NN போன்றவற்றையும்\N_NN உணவாக\RB உட்கொள்ளும்\V_VM_VF .\RD_PUNC
TMAD3009	அத்தேவையைப்\N_NN பூர்த்தி\PSP செய்ய\V_VM_VINF மண்\N_NN சட்டிகளில்\N_NN உரத்தோடு\N_NN கலந்த\JJ மண்ணை\N_NN நிரப்பிக்\JJ கீரைகளை\N_NN வளர்த்து\V_VM_VF ,\RD_PUNC வளர்ந்தபின்\JJ சட்டியுடன்\N_NN உலாவுதளத்தின்\N_NN உட்புறம்\N_NN நான்கு\QT_QTC பக்கமும்\N_NN வைக்க\V_VM_VINF ,\RD_PUNC அவை\PR_PRP ஒரு\QT_QTC இயற்கை\N_NN சூழலை\N_NN உருவாக்கி\V_VM_VNF ,\RD_PUNC கோழிகளின்\N_NN இனவிருத்தித்\JJ திறனை\N_NN அதிகப்படுத்தும்\V_VM_VF .\RD_PUNC
TMAD3010	நாட்டுக்கோழி\N_NN இனங்கள்\N_NN :\RD_PUNC நம்\PR_PRP இந்தியாவில்\N_NNP மட்டும்\PSP 18\QT_QTC கோழி\N_NN இனங்கள்\N_NN உள்ளன\V_VM .\RD_PUNC அவற்றில்\PR_PRP தமிழகத்தில்\N_NNP 7\QT_QTC கோழியினங்கள்\N_NN உள்ளன\V_VM .\RD_PUNC
