ID	Sentence
TMACD1	பிரம்மகுமாரிகள் அமைப்பின் சார்பில் அகில இந்திய கலை மற்றும் பண்பாட்டு விழா வரும் 24 ஆம் தேதி நடைபெறுகிறது.
TMACD2	தொடக்க விழாவில் தென்னிந்திய நடிகர் சங்கத் தலைவர் சரத்குமார் தலைமை விருந்தினராக கலந்துகொள்கிறார்.
TMACD3	பிரம்மகுமாரிகள் இயக்கத்தின் கலை மற்றும் பண்பாட்டுத் துறை தேசிய ஒருங்கிணைப்பாளர் குஸýம்ஜி, மவுண்ட் அபு ஆகியோர் சிறப்புரையாற்றுகின்றனர்.
TMACD4	ஷோபனா ரமேஷின் வரவேற்பு நடனம் இடம்பெறுகிறது. கலை மற்றும் பண்பாட்டுத் துறையைச் சேர்ந்த நடிகர், நடிகைகள், இயல், இசை, நாட்டியக் கலைஞர்கள், வித்வான்கள், எழுத்தாளர்கள், இயக்குநர்கள், மாணவ, மாணவிகள் என சுமார் 1,000-க்கும் மேற்பட்டோர் விழாவில் பங்கேற்கின்றனர் என்றார் பீனா.
TMACD5	முறைப்படுத்தப்பட்டவாய்ப்பாடுகளுக்குள் கொண்டு வந்து அவற்றை வேற்றினத்தவர் யாரும் கற்றுக் கொண்டு வெளிப்படுத்துகிற வாய்ப்பை தங்கள் கைகளிலேயே ஒரு சுக்கானைப் போல அவர்கள் வைத்திருந்தார்கள், பயன்பாட்டு மொழியாக அவர்கள் வெவ்வேறு தென்னிந்திய மொழிகளைப் பேசினாலும் கூட கோவில் கருவறைகளில் சமஸ்க்ருதம் என்கிற புதிரை இன்றளவும் அவர்கள் தொடர்ந்து நிலை நிறுத்திக் கொண்டதன் காரணம் நிலையான பொருள் மற்றும் சமூக வாழ்க்கை குறித்த அச்சம் என்றே சொல்லலாம்.
TMACD6	குவிக்கப்படிருந்த அரசவை மையங்களில் இருந்து ஒரு புதிய அதிகார மையத்தைக் கோவில்களின் மூலம் கட்டமைப்பதில் பார்ப்பனர்கள் பெரிய அளவில் வெற்றி அடைந்தார்கள், மன்னர்களின் அல்லது சமஸ்தானத் தலைமைகளின் மிக நெருங்கிய ஆலோசகர்களாக கோவில்களின் வழியாகப் பார்ப்பனர்கள் நிலை பெற்றார்கள்.
TMACD7	காலனி ஆதிக்கமும், அதற்கு முந்தைய சமஸ்தானங்களும் வழங்கிய அங்கீகாரம், பொருள் மற்றும் அதிகார ஆசைகளை நோக்கி ஆரியம் என்கிற குறியீட்டு அரசியல் வெற்றி கண்டிருந்த காலத்தின் மாற்றுக் குறியீட்டு அரசியலே திராவிடம் என்கிற கருத்தாக்கம்.
TMACD8	1891 இல் அயோத்தி தாசரின் "திராவிட மகாஜன சபை" உருவாக்கப்பட்ட போது பிராமணர்களுக்கு எதிரான அவர்களின் ஆரியக் குறியீடுகளுக்கு எதிரான ஒரு நுட்பமான அறிவுசார் அரசியல் இயக்கமாகவே அது தோற்றம் கொண்டிருந்தது.
TMACD9	பிராமணர்கள் அல்லாத அறிவுக் குழுக்களின் அடையாளமாக அன்றைய ஆதிக்க மகா சமூகங்களின் புகலிடமாக இருந்த "திராவிட மகாஜன சபை" சமூக நீதிக்கான முழுமையான தீர்வாக முன்வைக்கப்படவில்லை என்ற போதிலும், அதுவே இன்றைய தமிழ்ச் சமூகத்தின் சமூக நீதி கண்ட வெற்றிகளின் அடிப்படையாக இருந்தது என்பதைப் பெரியாரைக் கடந்து நாம் உணர்ந்து கொண்டே ஆக வேண்டும்
TMACD10	கடையநல்லூர் : நெல்லை மாவட்டத்தில் கலை மற்றும் பண்பாட்டு மையம் அமைத்திட முதல்வர் ஜெயலலிதா அனுமதி அளித்துள்ளது மிப்பெரிய சிறப்பாகும் என அமைச்சர் செந்தூர்பாண்டியன் தெரிவித்துள்ளார்
