ID	Value
TMECD1	இலங்கைப்\N_NNP பொருளாதாரத்தில்\N_NN மெய்யான\JJ மாற்றம்\N_NN எதுவும்\PR_PRQ ஏற்படவில்லை\V_VAUX என\CC_CCS_UT பொருளியலாளரும்,\N_NN மத்திய\JJ வங்கியின்\N_NN முன்னால்\N_NST பணிப்பாளருமான\JJ இந்திரஜித்\N_NNP குமாரசாமி\N_NNP தெரிவித்துள்ளார்.\V_VAUX
TMECD2	நாட்டில்\N_NN முதலீடு\N_NN அதிகரித்து\V_VM_VNF உற்பத்தி\N_NN அதிகரித்து\V_VM_VNF இதனால்\CC_CCS வேலை\N_NN வாய்ப்புகள்\N_NN கூடி\V_VM_VNF ,\RD_PUNC வருமானம்\N_NN அதிகரித்து\V_VM_VNF வறுமை\N_NN குறைவடைதல்\N_NNV என்ற\CC_CCS_UT பொதுவான\JJ பொருளாதார\JJ பண்பினை\N_NN இலங்கையில்\N_NNP காண\JJ முடியாததாக\RB உள்ளது\V_VM .\RD_PUNC
TMECD3	தற்போது\N_NN மிகத்\RP_INTF தாழ்ந்த\JJ மட்டத்தில்\N_NN காணப்படும்\JJ வேலையின்மை\N_NN மற்றும்\CC_CCD வறுமையின்\N_NN சதவீதங்கள்\N_NN இலங்கைப்\N_NNP பொருளாதாரத்தில்\N_NN ஏற்பட்ட\JJ மெய்யான\JJ மாற்றங்களால்\N_NN உண்டானவை\V_VM_VNF அல்ல\V_VAUX .\RD_PUNC
TMECD4	புலம்பெயர்ந்து\V_VM_VNF வாழுகின்ற\V_VM_VNF அல்லது\CC_CCD உழைப்பாளிகள்\N_NN அனுப்பும்\JJ பணத்தில்\N_NN ஏற்பட்ட\JJ அதிகரிப்பு\N_NN ,\RD_PUNC என்றும்\CC_CCS_UT இல்லாதவாறு\V_VM_VNF அரச\JJ துறையில்\N_NN ஏற்படுத்தப்பட்டு\V_VM_VNF வருகின்ற\V_VM_VNF விரிவாக்கம்\N_NN மற்றும்\CC_CCD இராணுவக்\N_NN குடும்பங்கள்\N_NN பெற்றுக்\V_VM_VNF கொண்ட\JJ அரச\JJ நிதி\N_NN கொடுப்பனவுகள்\N_NN மற்றும்\CC_CCD உதவிகள்\N_NN போன்றனவற்றாலேயே\N_NN வறிய\JJ குடும்பங்களின்\N_NN சதவீதம்\N_NN குறைவடைந்துள்ளது\V_VAUX .\RD_PUNC
TMECD5	இதே\PR_PRP போல\PSP வேலையின்மை\N_NN வீதத்தினை\N_NN நோக்கும்\V_VM_VNF போது\PSP ,\RD_PUNC அரச\JJ துறையில்\N_NN பணியாற்ற\JJ பெருமளவானோர்\N_NN உள்வாங்கப்பட்டுள்ளதுடன்\V_VM_VNF ,\RD_PUNC குறிப்பிடத்தக்க\JJ அளவிலான\JJ தொழிலாளர்கள்\N_NN வேலை\N_NN தேடி\V_VM_VNF வெளி\N_NST நாடு\N_NN சென்றதினாலேயே\V_VM_VNF கடந்த\JJ ஆண்டு\N_NN (\RD_SYM 2012\QT_QTC )\RD_SYM இலங்கையின்\N_NN வேலையின்மை\N_NN 4\QT_QTC %\N_NN ஆக\RB வீழ்ச்சி\N_NN கண்டுள்ளதாக\RB இந்திரஜித்\N_NNP குமாரசாமி\N_NNP சுட்டிக்காட்டியுள்ளார்\V_VM_VF .\RD_PUNC
TMECD6	அரச\JJ சேவையில்\N_NN பணியாற்றுவோரின்\N_NN எண்ணிக்கை\N_NN 2006\QT_QTC -\RD_PUNC 2012\QT_QTC (\RD_SYM மகிந்த\JJ ஆட்சி\N_NN )\RD_SYM காலத்தில்\N_NN இரு\QT_QTC மடங்கிற்கும்\N_NN மேலாக\RB (\RD_SYM சுமார்\N_NN 3\QT_QTC மில்லியன்\N_NN )\RD_SYM உயர்ந்து\V_VM_VNF நிற்பதனை\V_VM_VNG மத்திய\JJ வங்கியின்\N_NN புள்ளிவிபரங்கள்\N_NN காட்டுகின்றன\V_VM_VF .\RD_PUNC
TMECD7	வங்கித்\N_NN தொழில்\N_NN வான்மையாளர்\N_NN சங்கத்தின்\N_NN 25வது\QT_QTO ஆண்டு\N_NN நிறைவு\N_NN நாள்\N_NN நிகழ்வு\N_NN யாழ்\N_NN .\RD_PUNC ஹற்ரன்\N_NNP நஷனல்\N_NN வங்கியின்\N_NN புதிய\JJ மண்டபத்தில்\N_NN அண்மையில்\N_NN இடம்பெற்றது\V_VM_VF .\RD_PUNC
TMECD8	இங்கு\N_NST அபிவிருத்தி\N_NN பொருளியலாளரான\JJ கலாநிதி\N_NNP .\RD_PUNC முத்துகிருஷ்ணன்\N_NNP சர்வாணந்தன்\N_NNP வடக்கின்\N_NST அபிவிருத்திக்கான\N_NN வாய்ப்புக்களும்\N_NN சவால்களும்\N_NN என்ற\CC_CCS_UT தலைப்பில்\N_NN விரிவுரை\N_NN வழங்கினார்\V_VM_VF .\RD_PUNC
TMECD9	இதன்\PR_PRP தொகுப்பாக\RB இந்தக்\DM_DMD கட்டுரை\N_NN அமைகின்றது\V_VM_VF .\RD_PUNC
TMECD10	வடமகாணத்தின்\N_NN பருநிலைப்\N_NN பொருளாதாரம்\N_NN -\RD_PUNC ஓர்\JJ அலசல்\N_NN
