ID	Value
TMSED2001	இன்றைய\JJ உலகின்\N_NN இன்றியமையாத\JJ ஒன்றாக\RB திகழ்வது\V_VM_VNG யாதெனில்\PR_PRQ கல்வியே\N_NN ஆகும்\V_VM .\RD_PUNC
TMSED2002	எந்தவொரு\JJ சமூகத்தினரும்\N_NN இக்கல்வியைக்\N_NN கற்பது\V_VM_VNG இருந்து\N_NN விலகிச்செல்வது\V_VM_VNG இன்றைய\JJ நவீன\JJ உலகில்\N_NN மிகவும்\RP_INTF அரிதாக\RB காணப்படுகிறது\V_VM_VF .\RD_PUNC
TMSED2003	ஏனெனில்\CC_CCS கல்வியின்\N_NN சிறப்பை\N_NN அனைத்து\N_NN சமூகங்களும்\N_NN புரிந்துள்ளன\V_VM_VF .\RD_PUNC
TMSED2004	இதனால்\CC_CCS தான்\RP_RPD இன்று\N_NST கல்வியானது\N_NN மனிதனின்\N_NN அத்தியவசிய\JJ தேவையாக\RB இருக்கிறது\V_VM .\RD_PUNC
TMSED2005	கல்வியின்\N_NN சிறப்பு\N_NN பற்றி\PSP கூறும்\V_VM_VNF போது\PSP கல்வி\N_NN கற்றவன்\N_NN எந்த\DM_DMQ இடத்திற்குச்\N_NN சென்றாலும்\V_VM_VNF அவன்\PR_PRP பிற\JJ சமூகத்தால்\N_NN மதிக்கப்படுகின்றான்\V_VM_VF .\RD_PUNC
TMSED2006	இதற்கு\PR_PRP காரணம்\N_NN அவன்\PR_PRP கற்ற\JJ கல்வியே\N_NN .\RD_PUNC
TMSED2007	கற்றவனுக்கு\N_NN தனது\PR_PRP நாடும்\N_NN ஊருமே\N_NN அல்லாமல்\RP_NEG எந்த\DM_DMQ நாடும்\N_NN ஊரும்\N_NN தன்னுடைய\PR_PRP ஊராகும்\V_VM_VF .\RD_PUNC
TMSED2008	இப்படி\RB கல்வி\N_NN கற்றவனின்\N_NN சிறப்பு\N_NN இருக்க\V_VM_VINF ஒருவன்\N_NN தான்\RP_RPD மரணிக்கும்\N_NN வரை\PSP கல்வி\N_NN கற்காமல்\V_VM_VNF இருந்து\V_VM தனது\PR_PRP காலத்தை\N_NN கழிப்பது\V_VM_VNG மிகவும்\RP_INTF சிரமமானதாகும்\V_VM_VF .\RD_PUNC
TMSED2009	இதனையே\PR_PRP திருவள்ளுவர்\N_NNP மிகவும்\RP_INTF அழகாக\RB வர்ணித்திருக்கிறார்\V_VM_VF .\RD_PUNC
TMSED2010	ஒருவன்\N_NN தான்\RP_RPD எவ்வளவு\QT_QTF கல்வி\N_NN கற்றாலும்\V_VM_VNF அதனை\PR_PRP செயல்\N_NN வடிவில்\N_NN தக்கவைத்துக்கொள்ள\V_VM_VINF வேண்டும்\V_VAUX .\RD_PUNC
TMSED2011	அப்போது\N_NST தான்\RP_RPD அவன்\PR_PRP கற்ற\JJ கல்வியின்\N_NN பயன்\N_NN அவனுக்கு\PR_PRP கிடைக்கும்\V_VM_VF .\RD_PUNC
TMSED2012	இல்லாவிடில்\V_VM_VNF அவன்\PR_PRP கற்ற\JJ கல்வியின்\N_NN பயன்\N_NN ஒன்றும்\QT_QTC இல்லாமல்\RP_NEG போய்விடும்\V_VM_VF .\RD_PUNC
TMSED2013	இதனையும்\PR_PRP திருவள்ளுவர்\N_NNP தனது\PR_PRP திருக்குறளின்\N_NN கல்வி\N_NN என்ற\CC_CCS_UT அதிகாரத்தின்\N_NN முதலாவது\QT_QTO குறளில்\N_NN தெளிவாக\RB கூறுகின்றார்\V_VM_VF .\RD_PUNC
TMSED2014	``\RD_PUNC கற்க\V_VM_VINF கசடறக்\JJ கற்பவை\N_NN கற்ற\JJ பின்\N_NST நிற்க\V_VM_VINF அதற்குத்\PR_PRP தக\JJ ``\RD_PUNC என்று\CC_CCS_UT கூறுவதிலிருந்து\V_VM_VNG நாம்\PR_PRP விளங்கிக்கொள்ளலாம்\V_VM_VF .\RD_PUNC
TMSED2015	எண்\N_NN என்று\CC_CCS_UT சொல்லப்படுவதும்\V_VM_VNG ,\RD_PUNC எழுத்து\N_NN என்று\CC_CCS_UT சொல்லப்படுவதும்\V_VM_VNG இவை\PR_PRP இரண்டினையும்\QT_QTC அறிந்தோர்\N_NN சிறப்பு\N_NN மிக்க\JJ மக்களின்\N_NN உயிர்களுக்கு\N_NN கண்\N_NN என்று\CC_CCS_UT சொல்லப்படுவர்\V_VM_VF .\RD_PUNC
TMSED2016	இந்த\DM_DMD அளவிற்கு\N_NN கல்வியின்\N_NN சிறப்பு\N_NN எடுத்துரைக்கப்படுகின்றது\V_VM_VF .\RD_PUNC
TMSED2017	கற்றவரின்\N_NN சிறப்புப்\N_NN பற்றி\PSP கூறும்\V_VM_VNF போது\PSP ஒருவனின்\N_NN முகத்திலுள்ள\JJ கண்ணானது\N_NN கற்றவருக்குரிய\JJ அடையாளம்\N_NN என்று\CC_CCS_UT சொல்லப்படுகிறது\V_VM_VF .\RD_PUNC
TMSED2018	அதே\PR_PRP கண்\N_NN இல்லாதவருக்கு\N_NN முகத்தில்\N_NN இரண்டு\QT_QTC புண்\N_NN இருப்பதாக\RB குறிப்பிடப்படுகின்றது\V_VM_VF .\RD_PUNC
TMSED2019	இதன்\PR_PRP மூலம்\PSP கல்வியின்\N_NN சிறப்பும்\N_NN அதனைக்\PR_PRP கற்றவனின்\N_NN சிறப்பும்\N_NN கூறப்படுகின்றது\V_VM_VF .\RD_PUNC
TMSED2020	கல்வி\N_NN உடையவர்\N_NN எல்லா\JJ மக்களிடமும்\N_NN நன்றாக\RB பழகிக்கொள்வதோடு\V_VM_VNG மட்டுமல்லாமல்\PSP அவர்களுடன்\PR_PRP சந்தோசமாக\RB சேர்ந்துவாழ்வதையே\V_VM_VNG விரும்புவர்\V_VM_VF .\RD_PUNC
TMSED2021	இவர்களை\PR_PRP பிரிக்கின்ற\V_VM_VNF போது\PSP இனி\N_NN நாம்\PR_PRP எப்போது\N_NST நான்\PR_PRP மீண்டும்\RB சேர்வோம்\V_VM_VF !\RD_PUNC என்ற\CC_CCS_UT நினைவிலேயே\N_NN பிரிகின்ற\JJ தன்மை\PR_PRP கற்றவரிடம்\N_NN இருக்கும்\V_VM தன்மையாகும்\V_VM_VF .\RD_PUNC
TMSED2022	மனிதன்\N_NN ஆயுள்\N_NN முழுவதும்\N_NN கற்றுக்கொண்டே\V_VM_VNF இருக்கவேண்டும்\V_VAUX .\RD_PUNC கற்க\JJ மறுப்பவன்\N_NN வாழ\JJ மறுப்பவன்\N_NN ஆகின்றான்\V_VM_VF .\RD_PUNC
TMSED2023	கற்க\JJ மறுப்பவன்\N_NN வாழ\JJ மறுப்பவன்\N_NN ஆகின்றான்\V_VM_VF .\RD_PUNC
TMSED2024	கல்வி\N_NN என்பது\CC_CCS_UT ஆய்வு\N_NN கல்வி\N_NN மூலம்\PSP சூழலை\N_NN அறிவை\N_NN சமூகத்தை\N_NN பண்பாடு\N_NN மறபை\N_NN ஆராய்ந்துகொள்ளலாம்\V_VM_VF .\RD_PUNC
TMSED2025	``\RD_PUNC கல்விக்காக\RB உயிர்\N_NN கொடுத்தோர்\V_VM_VNF என்றும்\CC_CCS_UT மரணிப்பதில்லை\V_VAUX .\RD_PUNC ``\RD_PUNC
