ID	Sentence
TMGD1	கிரேக்க காலத்திலிருந்து வளர்ச்சியடைந்த புவியியலானது கிரேக்க மொழிச் சொல்லில் "Geo-graphie" என்று குறிப்பிடப்பட்டுள்ளது.
TMGD10	மானிடப்புவியியல் என்ற சொற்பதத்தை முதன் முதலில் ரட்சல் என்பவர் பயன்படுத்தினார்.
TMGD100	வடக்கு தெற்காக 3,214 கி.மீ. நீளமும் கிழக்கு மேற்காக 2,933 கி.மீ. நீளமும் கொண்டுள்ளது.
TMGD1000	வானியல் (Astronomy) என்பது விண்பொருட்கள் (அதாவது இயற்கைத் துணைக்கோள்கள், கோள்கள், விண்மீன்கள்,விண்முகில்கள் மற்றும் விண்மீன் பேரடைகள்) பற்றியும், அவற்றின் இயற்பியல், வேதியியல், கணிதம் மற்றும் படிப்படியான வளர்ச்சி பற்றியும், மற்றும் பூமிக்கும் அதன் காற்று மண்டலத்துக்கும் வெளியே நடைபெறும் நிகழ்வுகளை (உ-ம்: மீயொளிர் விண்மீன் வெடிப்பு, காமா கதிர் வெடிப்பு, விண்-நுண்ணலை-பின்புலம் (Cosmic microwave background) போன்றவற்றை) அவதானிப்பதிலும், விளக்குவதிலும் ஈடுபட்டுள்ள ஒரு அறிவியலாகும். வானியலுடன் தொடர்புடைய தொடர்புடைய, ஆனாலும் முற்றிலும் தனித்துவமான துறையான அண்டவியல் என்பது அண்டத்தைப் பற்றி முழுமையாக ஆய்வதாகும்.
TMGD101	வங்காள விரிகுடாவிலுள்ள அந்தமான் நிகோபார் தீவுகளும் அரபிக் கடலிலுள்ள இலட்சத் தீவுகளும் இந்தியாவின் பகுதிகளாகும்.
TMGD102	தென்மேற்கில் இந்தியா அரபிக் கடலாலும் தென்கிழக்கில் வங்காள விரிகுடாவினாலும் வடமேற்கு, வடகிழக்குப் பகுதிகளில் இமாலய மலைத் தொடரினாலும் சூழப்பட்டுள்ளது.
TMGD103	கன்னியாகுமரி இந்திய தீபகற்பத்தின் தென் கோடியாக விளங்குகிறது. இதன் தெற்கில் இந்தியப் பெருங்கடல் அமைந்துள்ளது.
TMGD104	இந்திய நாடு 28 மாநிலங்களாகவும், ஆறு ஒருங்கிணைந்த பிரதேசங்களாகவும் பிரிக்கப்பட்டுள்ளது. தில்லி, நாட்டின் தலைநகரப் பிரதேசம் ஆகும்.
TMGD105	இந்தியாவானது ஏழு புவியியல் மண்டலங்களாகப் பிரிக்கப்பட்டுள்ளது. அவையாவன: வடபகுதியிலுள்ள இமாலய மலையை உள்ளடக்கிய மலைகள், இந்திய கங்கைச்சமவெளி, தார் பாலைவனம், மத்திய உயர்நிலங்கள் மற்றும் தக்காணப் பீடபூமி, கிழக்குக் கடற்கரை, மேற்குக் கடற்கரை, சுற்றியுள்ள கடல்களும் தீவுகளும்.
TMGD106	இந்திய கங்கைச் சமவெளி என்பது சிந்து, கங்கை, பிரம்ம புத்திரா ஆகிய ஆறுகள் பாய்ந்து உருவாக்கப்பட்டதாகும்.
TMGD107	இச்சமவெளி மேற்கில் காஷ்மீர் முதல் கிழக்கில் அஸ்ஸாம் வரை பரந்துள்ளது.
TMGD108	இச்சமவெளி இமாலய மலைத்தொடருக்கு இணையாகச் செல்கிறது.
TMGD109	இச்சமவெளி பஞ்சாப், ஹரியானா, ராஜஸ்தான், உத்தரப் பிரதேசம், பீஹார், ஜார்க்கண்ட், மேற்கு வங்காளம் ஆகிய மாநிலங்களில் அமைந்துள்ளது.
TMGD11	இது பற்றி அறிஞர்களின் கருத்துக்கள் பின்வருமாறு, ஜீன் புரூனே - "மனிதனின் உலகியல் சாதனைகளை ஆராய்கின்ற இயலே மானிடப்புவியியல்"
TMGD110	பெரிய இந்தியப் பாலைவனம் என்று அழைக்கப்படும் தார் பாலைவனம் இந்தியாவின் மேற்குப்பகுதியில் அமைந்துள்ளது.
TMGD111	இது இந்தியாவின் பஞ்சாப், ராஜஸ்தான், ஹரியானா, குஜராத் ஆகிய மாநிலங்களில் பரவியுள்ளது.
TMGD112	பாகிஸ்தான் நாட்டிலும் பரவியிருக்கும் இப்பாலைவனம் அங்கே சோலிஸ்தான் பாலைவனம் என்று அழைக்கப்படுகிறது.
TMGD113	இப்பாலைவனத்தின் பெரும்பகுதி (61 சதவீதம்) ராஜஸ்தானிலேயே உள்ளது.
TMGD114	இந்தியாவின் மலைப்பகுதிகள் இருபெரும் தொடர்ச்சியைக் கொண்டவை. தீபகற்ப இந்தியாவின் மேற்குப் பகுதியை ஒட்டி அமைந்துள்ள மேற்கு தொடர்ச்சி மலைகள்.
TMGD115	இது தமிழகத்தின் கன்னியாகுமரி மாவட்டத்தில் தொடங்கி கேரளம், கர்நாடகம், மகாராஷ்டிரா ஆகிய மாநிலங்களில் விரவி, மும்பை அருகே முடிவு பெறுகிறது.
TMGD116	மேலும் தீபகற்ப இந்தியாவின் கிழக்கு பகுதியில் உள்ள தொடர்ச்சியான குன்றுகள் கிழக்குத் தொடர்ச்சிக் குன்றுகள் என்று அழைக்கப்படுகின்றன.
TMGD117	இவை இரண்டும் இந்தியப் புவியியலில் குறிப்பிடப்படும் முக்கிய மழைத் தொடர்ச்சியாகும்.
TMGD118	இவை தவிர இளம் மடிப்பு மலைகள் என்று அழைக்கப்படும் இமயமலைப் பகுதிகள் இந்தியாவின் வடக்குப் பகுதியில் கஷ்மீர் மாநிலம் முதல் 7 சகோதரி மாநிலங்கள் என்று அழைக்கப்படும் வடகிழக்கு மாநிலங்கள் வரை அமைந்துள்ளன.
TMGD119	கிழக்கு கடலோர சமவெளி கிழக்கு தொடர்ச்சி மலை மற்றும் வங்காள விரிகுடா இடையே உள்ளது.
