ID	Sentence
TMHED3001	சர்க்கரை நோய் தீர்க்கும் உணவு முறை : பொதுவாக 35 வயது வரை உணவில் எந்தக் கட்டுப்பாடும் வைத்துக் கொள்ள வேண்டியதில்லை . அவரவர் வாழும் சூழ்நிலை, உத்தியோகம், பணி இவற்றைப் பொறுத்து தங்களுக்கு ஒத்து வரக்கூடிய, தங்களுக்குப் பிடித்த எந்த உணவையும் சாப்பிட்டு வரலாம் .
TMHED3002	ஹோட்டல், விடுதிகள் போன்ற வெளியிடங்களைத் தவிர்த்து தாமே சமைத்து உண்ணுதல் நலம் .
TMHED3003	அரை வயிறு உணவு, கால் வயிறு தண்ணீர், கால் வயிறு காற்றுக்காக காலியாக வைத்திருத்தல் என்னும் உணவுப் பழக்கம் எக்காலத்திற்கும், யாவர்க்கும் பொருந்தி வரக் கூடிய ஓர் ஆரோக்யமான உணவுப் பழக்கமாகும்.
TMHED3004	35 வயதிற்குப் பின் உணவு முறையில் சில கட்டுப்பாடுகளை வைத்துக் கொள்ளுதல் அவசியம்.
TMHED3005	அரிசியில் உள்ள அதிகப்படியான ஸ்டார்ச் சத்து சர்க்கரை நோய் உள்ளவர்களை மிகவும் பாதிப்பதால் ஸ்டார்ச் குறைவாக உள்ள கோதுமையை அதிகமாக உணவில் சேர்த்துக் கொள்வது அவசியம்.
TMHED3006	இரவு உணவு கோதுமை சப்பாத்தியாக, கோதுமை தோசையாக இருத்தல் நலம். சர்க்கரையின் அளவைப் பாதியாகக் குறைத்துக் கொள்ள வேண்டும்.
TMHED3007	50 வயதிற்குப் பின் சர்க்கரையை அறவே தவிர்த்து விட வேண்டும். 40 வயது முதல் நெய்யை உணவில் சேர்த்துக் கொள்ளக் கூடாது.
TMHED3008	இதனால் மூட்டு வலி, ஈரல் வீக்கம் போன்ற நோய்களிலிருந்து தற்காத்துக் கொள்ளலாம். சர்க்கரை நோய் முற்றிய நிலையிலிருந்தால் காலை, மதியம், இரவு என மூன்று வேளைகளிலும் அரிசி சாதத்தைத் தவிர்த்து கோதுமை உணவை மட்டுமே ஏற்க வேண்டும்.
TMHED3009	ஆரம்ப நிலையிலுள்ள சர்க்கரை நோயை சரியான உணவுப் பழக்கத்தால் எளிதில் குணமாக்கி விடலாம் என்பது உண்மையே. இவர்கள் காலையில் எழுந்தவுடன் ஒரு அருகம்புல் உருண்டையை வாயில் போட்டு ஒரு டம்ளர் நீர் அருந்தவும்.
TMHED3010	அருகம்புல் உருண்டை எப்படி செய்வது ? வேர், தண்டு நீக்கிய அருகம்புல்லைச் சேகரித்து அம்மியில் வைத்து நன்றாக அரைக்கவும் .
TMHED3011	அத்துடன் நீர் சேர்க்காமல் தேவையான அளவு வடிகஞ்சியை ஊற்றி நைசாக அரைக்கவும். அருகம்புல்லை கல் அம்மி, ஆட்டுக்கல்லில்தான் அரைக்க வேண்டும்.
TMHED3012	மின்சார மிக்சிகளைப் பயன்படுத்தக் கூடாது. அருகம்புல் விழுதான பதத்திற்கு வந்தவுடன் அதை வழித்தெடுத்து, உருண்டையாக உருட்டி ஒரு வெள்ளை வேட்டியில் அந்த உருண்டைகளை வைத்து நன்றாக வெயியில் காய வைக்கவும்.
TMHED3013	சர்க்கரை நோய் தீர்க்கும் ஆராக் கீரை : அருகம்புல் உருண்டையில் உள்ள ஈரப் பதம் நன்றாகக் காயும் வரை தேவையான நாட்கள் தொடர்ந்து வெயிலில் காய வைக்கவும். நன்றாகக் காய்ந்தவுடன் ஒரு கண்ணாடி பாட்டிலில் அல்லது பீங்கான் பாத்திரத்தில் அருகம்புல் உருண்டைகளைப் போட்டு பத்திரப்படுத்தி வைக்கவும்.
TMHED3014	இப்படி தயார் செய்யப்பட்ட அருகம்புல் உருண்டைகளை தினமும் ஒரு உருண்டை வெறும் வயிற்றில் உண்டு ஒரு டம்ளர் நீர் அருந்தி வந்தால் ஆரம்பி நிலையிலுள்ள சர்க்கரை வியாதி குணமாகும். முற்றிய நிலையிலுள்ள நோயின் கடுமை தணியும்.
TMHED3015	இரண்டாவதாக, இரவில் அரிசி சாதத்தில் நீர் ஊற்றி வைத்திருந்து காலையில் (பழைய) சாதத்தில் உள்ள நீரை வடித்து விட்டு உண்பதால் சாதத்தில் உள்ள பெரும்பான்மையான ஸ்டார்ச் சத்து நீர் மூலம் வெளியேறி விடும்.
TMHED3016	இந்த சாதத்தை நாள் முழுவதும் சாம்பார், ரசம், மோர் இவற்றை சேர்த்து உண்ணலாம். இதனால் உடலில் சர்க்கரையின் அளவு அதிகமாகாது.
TMHED3017	மூன்றாவதாக, நீர் ஆரை என்ற ஒரு கீரை உண்டு. வயல் வரப்புகளில், வாய்க்கால்களில் நீர் தொடர்ந்து இடங்களில் முளைத்திருக்கும். நாலு இதழ்கள் கொண்டது. இந்த ஆராக்கீரையைச் சமைத்து தினந்தோறும் உண்ண வேண்டும்.
TMHED3018	பசுவிற்கும் ஒரு கைப்பிடி ஆராக் கீரையை சிறிதளவு வெல்லத்துடன் சேர்த்துக் கொடுத்தில் மிகவும் துரிதமான பலன்களைக் கொடுக்கும்.
