ID	Value
TMHSD1001	வேதகால\JJ இலக்கியத்தின்\N_NN துவக்க\JJ காலத்திற்கு\N_NN இந்தியாவின்\N_NNP நாகரிக\JJ உதயத்தை\N_NN தொடர்புபடுத்துவது\V_VM_VNG ஒரு\QT_QTC காலப்\JJ பிழையாகும்\V_VM .\RD_PUNC ஏனெனில்\CC_CCS_UT ஹரப்பா\N_NNP நாகரிகம்\N_NN என்றும்\CC_CCS_UT ,\RD_PUNC சிந்துவெளி\N_NN நாகரிகம்\N_NN என்றும்\CC_CCS_UT அழைக்கப்படும்\V_VM_VF முன்னேற்றமடைந்த\JJ பண்பாடு\N_NN கி\N_NNP .\RD_PUNC மு\N_NN .\RD_PUNC 3000\QT_QTC ஆண்டுகளுக்கு\N_NN முன்னரே\PSP உருவாகி\V_VM_VNF இருந்தது\V_VAUX .\RD_PUNC
TMHSD1002	இலக்கியச்\N_NN சான்றுகள்\N_NN ,\RD_PUNC அகழ்வாராய்ச்சிச்\N_NN சான்றுகளைவிட\JJ நம்பத்\N_NN தகுந்தவை\JJ என்ற\CC_CCS_UT நம்பிக்கையே\RB ,\RD_PUNC இக்காலப்பிழை\N_NN தோன்றுவதற்கு\N_NN காரணமாகும்\V_VM_VINF .\RD_PUNC பழமையின்\N_NN பொருளாய\N_NNP எச்சங்களைக்\N_NN கண்டுபிடித்துப்\V_VM_VF பொருள்\N_NN காணும்\N_NN தன்மையால்\N_NN அகழ்\N_NN வாராய்ச்சி\N_NN இரண்டு\QT_QTC ஆய்வுப்\N_NNP பகுதிகளுக்குச்\N_NN சான்றுகளை\N_NN அளிக்கிறது\N_NN .\RD_PUNC ஒன்று\QT_QTC தொழில்\N_NN நுணுக்கம்\N_NN பற்றிய\PSP ஆய்வு\N_NN ,\RD_PUNC எப்படிப்\PR_PRQ பண்பாடுகள்\N_NN மாறுகின்றன\N_NN என்பதை\PR_PRQ அறிய\N_NN இவ்வாய்வு\N_NN துணை\N_NN புரிகிறது\N_NN .\RD_PUNC
TMHSD1003	மற்றொன்று\JJ சூழல்\N_NN ஆய்வு\N_NN என்கிற\CC_CCS_UT எக்காலஜி\RD_RDF (\RD_SYM Ecology\RD_RDF )\RD_SYM .\RD_PUNC இவ்விரு\JJ வகை\N_NN ஆய்வுகளும்\N_NN ஒரு\QT_QTC குறிப்பிட்ட\JJ காலகட்டத்தை\N_NN மதிப்பிடப்\JJ பெரிதும்\RB துணைபுரிகின்றன\V_VM_VF .\RD_PUNC இலக்கியச்\JJ சான்றுகள்\N_NN முழுவதையும்\N_NN நாம்\PR_PRP சேகரித்துவிட்டபடியால்\V_VM_VF புதிய\JJ சான்றுகளை\N_NN அகழ்\N_NN வாராய்ச்சிதான்\N_NN அளிக்க\JJ வல்லது\V_VM_VF .\RD_PUNC
TMHSD1004	ஹரப்பா\N_NN எழுத்துகள்\N_NN இன்னும்\N_NN விளக்கப்படாததால்\N_NN ,\RD_PUNC இலக்கியச்\N_NN சான்றுகளில்\N_NN மிகவும்\RB முந்தையது\N_NN வேதகாலத்து\N_NN இலக்கியங்களே\JJ .\RD_PUNC மேற்கூறிய\JJ காலப்பிழைக்கு\N_NN மற்றோர்\N_NN காரணம\N_NN ,\RD_PUNC வேதகால\N_NN மக்களே\N_NN இந்திய\N_NN நாகரிகத்தை\N_NN தோற்றுவித்தவர்கள்\V_VM என்ற\CC_CCS நம்பிக்கையாகும்\V_VM_VNF .\RD_PUNC
TMHSD1005	ஒரு\QT_QTC பண்டைக்கால\N_NN மக்களின்\N_NN சந்ததிகள்\N_NN வாழ்கிற\N_NN வரைக்கும்\N_NN பழைய\N_NN பண்பாடு\N_NN மறைந்து\N_NN போவதில்லை\N_NN .\RD_PUNC இது\N_NN முன்னேறிய\N_NN நகர\N_NN நாகரிகங்\N_NN களை\N_NN பொறுத்தவரை\N_NN உண்மையாகும்\N_NN .\RD_PUNC ஏனெனில்\N_NN அவை\PR_PRP நகரங்களில்\N_NN மட்டும்\N_NN இன்றி\N_NN ,\RD_PUNC சுற்றியிருக்கும்\N_NN கிராமப்புறங்களிலும்\N_NN ,\RD_PUNC தங்கள்\N_NN செல்வாக்கைப்\N_NN பரப்புகின்றன\N_NN .\RD_PUNC
TMHSD1006	நகர\JJ நாகரிகங்கள்\N_NN நிலைகொண்டிருந்த\JJ இடங்கள்\N_NN அழிந்துபோகலாம்\V_VM_VF .\RD_PUNC ஆனால்\CC_CCS அவ்விடங்களில்\N_NN குடியேறுகிற\JJ புதியவர்களின்\N_NN பண்பாட்டைப்\N_NN பழைய\N_NN பண்பாடு\N_NN பாதிக்கிறது\V_VM_VF .\RD_PUNC அண்மைக்கால\N_NN அகழ்வாராய்ச்சிகள்\N_NN ,\RD_PUNC பிற்கால\N_NN ஹரப்பா\N_NN பண்பாட்டிற்குப்\N_NN பின்\N_NST பல\N_NN பண்பாடுகள்\N_NN தோன்றி\JJ நிலைபெற்றிருந்தன\N_NN என்பதை\N_NN நிரூபிக்கின்றன\V_VM_VF .\RD_PUNC
TMHSD1007	இவை\PR_PRP மேலைய\N_NN இந்தியா\N_NN ,\RD_PUNC மாளவம்\N_NN ,\RD_PUNC சிந்து\N_NN கங்கைச்\N_NN சமவெளி\N_NN ,\RD_PUNC சிந்து\N_NN ,\RD_PUNC தோ\N_NN ஆப்-ஆப்\N_NN முதலிய\N_NN நிலப்பகுதிகளில்\N_NN நிலைபெற்றிருந்தன\N_NN .\RD_PUNC அப்பண்பாடுகள்\JJ ஹரப்பர்கள்\N_NN யாராயிருந்த\N_NN போதிலும்\N_NN ,\RD_PUNC அவர்களிடமிருந்தே\PR_PRP இந்திய\N_NN நாகரிகத்தின்\N_NN துவக்கத்தைக்\JJ காணவேண்டும்.\V_VM_VF
TMHSD1008	ஹரப்பா\N_NN நகரங்கள்\N_NN ஆரியர்\N_NN படையெடுப்பால்\V_VM அழிந்தன\JJ என்னும்\N_NN கொள்கை\N_NN இப்பொழுது\PR_PRP சந்தேகத்துக்கு\JJ உள்ளாகியுள்ளது\V_VM_VF .\RD_PUNC மொகஞ்சதாரோ\N_NN என்னும்\PR_PRP நகரத்தில்\N_NN மட்டும்\RB வன்முறையின்\N_NN சுவடுகள்\N_NN தெரிகின்றன\V_VM_VF .\RD_PUNC அவை\PR_PRP கூட\PSP வேறு\PSP காரணங்களால்\RB ஏற்பட்டிருக்கக்கூடும்\JJ என்று\QT_QTC அனுமானிக்கப்படுகிறது\V_VM_VF .\RD_PUNC
TMHSD1009	அத்தகைய\N_NN அனுமானங்களில்\N_NN ஒன்று\QT_QTC ,\RD_PUNC சிந்துநதிப்\N_NN பகுதியிலும்\N_NN ,\RD_PUNC சிந்துகங்கைச்\N_NN சமவெளியிலும்\N_NN ,\RD_PUNC ராஜஸ்தானிலும்\N_NN பாய்ந்த\RB ஆறுகளின்\N_NN நீரோட்டப்பாதைகள்\N_NN மாறின\V_VM_VF .\RD_PUNC இக்காரணம்\N_NN பொருத்தமானதாகவே\N_NN தோன்றுகிறது.\V_VM_VNF
TMHSD1010	மொகஞ்சதாரோவில்\N_NN அடிக்கடி\N_NN வெள்ளத்தால்\N_NN அழிவுகள்\N_NN நேர்ந்துள்ளன\N_NN என்பது\N_NN தெளிவாகத்\RB தெரிகிறது\N_NN .\RD_PUNC ஹரப்பா\N_NN காலத்தில்\N_NN இருந்த\V_VM_VINF பாசன\N_NN முறைகளால்\N_NN நீரில்\N_NN உப்புச்\N_NN சேர்ந்திருக்கக்\N_NN கூடும்\N_NN .\RD_PUNC இவற்றால்\PR_PRP சூழ்நிலை\N_NN மாற்றங்கள்\JJ ஏற்பட்டிருக்கலாம்\V_VM_VNF .\RD_PUNC இம்மாற்றங்களால்\JJ அப்பகுதி\JJ முழுவதும்\N_NN பாலைவனமாகிவிட்டது\V_VM_VF .\RD_PUNC
