ID	Sentence
TMLD1	உலகின் மிகப்பெரிய குடியரசு நாடான சுதந்திர இந்தியாவின் அரசியலமைப்பு, உலகிலேயே மிக நீளமான அரசியலமைப்பாகும். எழுதப்பட்ட சட்டமாக்கப்பட்ட அரசியலமைப்பு, நெகிழாத்தன்மையும் நெகிழ்ச்சித் தன்மையும் உடையது, கூட்டாட்சி மற்றும் ஒருமுகத்தன்மை கொண்டது, பொறுப்புள்ள அரசாங்கத்தை உடையது என்று பல சிறப்பம்சங்களைக் கொண்டது இந்திய அரசியலமைப்பாகும்.
TMLD2	அது அடிப்படை அரசியல் கொள்கைகள், அரசாங்க நிறுவனங்களின் கட்டமைப்பு, நடைமுறைகள், சக்திகள்,மற்றும் அடிப்படை உரிமைகள், உத்தரவுக் கொள்கைகள், குடிமக்களின் கடமைகள் ஆகியவற்றின் கட்டமைப்புகளை உள்ளடக்கியுள்ளது.
TMLD3	இது தான் இதுவரை உலக நாடுகளின் இடையே எழுதப்பட்டதில் மிக நீண்ட அரசியலமைப்பாகும். இதில் மொத்தம் 22 பிரிவுகள், 12 அட்டவணைகள், 94 திருத்தங்கள், 450 உட்பிரிவுகள் மற்றும் 117,369 சொற்கள் உள்ளன.
TMLD4	இது ஆங்கிலப் பதிப்பைத் தவிர, ஒரு அதிகாரப்பூர்வ இந்தி மொழிபெயர்ப்பினையும் கொண்டுள்ளது. இந்திய அரசியலமைப்பை உருவாக்கும் பணி 26 நவம்பர் 1949 அன்று முதல் இந்திய அரசமைப்பு நிர்ணய மன்றத்தால் தொடங்கப்பட்டது.
TMLD5	முழுமையடைந்த அரசியலமைப்பு 1950 ஆம் ஆண்டு ஜனவரி 26 அன்று நடைமுறைக்கு வந்தது. (இத்தேதி 26 ஜனவரி 1929, முழு தன்னாட்சி சாற்றல் நினைவாகத் தேர்வு செய்யப்பட்டது). இதன் மூலம் இந்தியா ஒரு ஒருங்கிணைந்த, தன்னாட்சி கொண்ட, குடியரசின் மக்களாட்சிக் கோட்பாட்டின்படி வழிநடத்துகின்ற நாடாக அறிவித்துக் கொண்டது. நடைமுறைக்கு வந்த பிறகு, அதுவரை நாட்டின் அடிப்படை நிருவாக ஆவணமாக இருந்த இந்திய அரசு சட்டம், 1935 திற்கு பதில் இந்திய அரசியலமைப்பு நாட்டின் அடிப்படை நிர்வாக ஆவணமாக மாற்றியது
TMLD6	அரசியலமைப்புக்கு வலுசேர்க்கும் விதமாக 1976 ல் நடைபெற்ற திருத்தங்களில் இந்தியா பொதுவுடைமை, மதச்சார்பின்மை மற்றும் நேர்மை இவைகளை தன் கொள்கைகளாக அறிவித்தது. இந்தியா தனது அரசியலமைப்பின் ஏற்பை ஒவ்வொரு ஆண்டும் ஜனவரி 26ம் தேதியை குடியரசு நாளாகக் கொண்டாடுகிறது.
TMLD7	இந்திய அரசியலமைப்பின் படி இந்தியா ஒரு கூட்டாட்சி(federalism) நாடாகும். இருப்பினும் இந்திய அரசியலமைப்புச் சட்டத்தில் 'கூட்டாட்சி' (கூட்டரசு - federal government) என்ற சொல்லிற்குப் பதிலாக 'ஒன்றியம்' (union) என்ற சொல்தான் பயன்படுத்தப்பட்டுள்ளது.
TMLD8	இந்திய அரசியலமைப்பின் முகப்புரை(preamble)யில், " இறையாண்மை உடைய ஜனநாயக, சமதர்ம, சுதந்திரக் குடியரசு" என்றும் " இந்திய யூனியன்" என்றும் இந்தியா பெயரிடப்பட்டுள்ளது. இது இச்சட்டத் தொகுப்பின் ஒரு முழுப் புரிதலையும் தரும்படி அமைக்கப்பட்டுள்ளது. இதில் இந்தியக் குடிமக்களுக்கான அடிப்படை உரிமைகள் தொடக்கத்திலேயே வழங்கப்பட்டிருந்தாலும், பின்பு அடிப்படைக் கடமைகளும் உருவாக்கப்பட்டன.
TMLD9	இந்திய அரசியலமைப்பு உருவான வரலாறு:இந்திய துணைக்கண்டத்தின் பெரும்பாலான பகுதி 1858 லிருந்து 1947 வரை ஆங்கிலேயர் காலனித்துவ ஆட்சியின் கீழ் இருந்தது. இந்த காலத்தில் வெளிநாட்டு ஆட்சியில் இருந்து சுதந்திரம் பெற இந்திய சுதந்திர இயக்கம் படிப்படியாக உயர்வு கண்டது.
TMLD10	1934-ல் இந்தியாவிற்கு ஒரு அரசியல் நிர்ணய சபை வேண்டும் என்ற கோரிக்கை எழுப்பப்பட்டது. பின்னர் 1936-இலும் 1939-இலும் இக்கோரிக்கைகள் வலியுறுத்தப்பட்டன.
TMLD11	அதன்படி, அரசியல் நிர்ணய சபையை உருவாக்கலாம் என கிரிப்ஸ் தூதுக்குழு மார்ச்-1942-ல் பரிந்துரைத்தது.
TMLD12	பின்னர் வந்த அமைச்சரவைத் தூதுக்குழு (மே-1946) அரசியல் நிர்ணய சபை ஏற்படுத்த வேண்டும் எனப் பரிந்துரைத்தது.
TMLD13	அதன்படி அரசியல் நிர்ணய சபைக்கான தேர்தல், ஜூலை 1946-ல் நடைபெற்றது. டிசம்பர் 1946-ல் அரசியல் நிர்ணய சபை கூடியது.
TMLD14	அச்சபையின் தலைவராக டிசம்பர்-11, 1946-ல் இராசேந்திர பிரசாத் தேர்ந்தெடுக்கப்பட்டார்.
TMLD15	1947,ஆகஸ்ட் 15-ல் பிரித்தானிய இந்தியாவானது இந்திய மாகாணம், பாக்கிஸ்தான் மாகாணம் என்ற இரண்டு நாடுகளாகப் பிரிக்கப்பட்டதால் சுதந்திர இந்தியாவிற்கான அரசியலமைப்பை மட்டும் உருவாக்கும் பணியை அரசியல் நிர்ணய சபை செய்ய வேண்டியதாயிற்று.
TMLD16	அரசியலமைப்புச் சட்ட வரைவுக் குழு:1947, ஆகஸ்ட் 29 -ல் அரசியல் நிர்ணய சபை ஒரு தீர்மானம் நிறைவேற்றியது.
TMLD17	அதன்படி இந்திய அரசியலமைப்புச் சட்டத்தை எழுத பீ. இரா. அம்பேத்கர் தலைமையில் அவர் உட்பட ஏழுபேர் கொண்ட அரசியலமைப்புச் சட்ட வரைவுக்குழு (Drafting committee)உருவாக்கப்பட்டது.
TMLD18	பீ. இரா. அம்பேத்கர்,கோபால்சாமி ஐயங்கார்,அல்லாடி கிருஷ்ணமூர்த்தி,கே.எம். முன்ஷி,சையது முகமது சாதுல்லா,மாதவராவ்,டி. பி. கைதான் ஆகியோர் இதன் உறுப்பினர்களாக இக்குழுவில் இடம்பெற்றனர்.
TMLD19	இக்குழு தனது அறிக்கையை 1948,பிப்ரவரி 21-ல் ஒப்படைத்தது. நவம்பர் 4-ல் அரசியல் நிர்ணய சபைக்கு ஒப்படைக்கப்பட்ட இவ்வறிக்கை, முழு வடிவம் பெற்று 1949, ஜனவர் 26-ல் அரசியல் நிர்ணய சபையின் தலைவர் இராஜேந்திரப் பிரசாத்தின் கையொப்பம் பெற்றது.
TMLD20	ஜனவரி 24-ல் நடைபெற்ற அரசியல் நிர்ணய சபையின் கடைசிக் கூட்டத்தில் சுதந்திர இந்தியாவின் முதல் குடியரசுத் தலைவராக இராசேந்திர பிரசாத் தேர்ந்தெடுக்கப்பட்டார்.
TMLD21	லாகூரில் நடைபெற்ற இந்திய தேசியக் காங்கிரஸ் மாநாட்டில் 1930,ஜனவரி 26-ல் இந்தியாவிற்கு சுதந்திரம் பெற்றே தீருவது என்ற தீர்மானம் நிறைவேற்றப்பட்டதன் நினைவாக ஜனவரி 26 தேதியை இந்தியக் குடியரசு நாளாக ஏற்பது என்றும் அரசியல் நிர்ணய சபை முடிவு செய்தது.
TMLD22	"இந்திய அரசியலமைச் சட்டம்-1950" இந்தியக் குடியரசு தினத்தில் நடைமுறைக்கு வந்தது.
TMLD23	இது பிரிட்டிஷ் ஆட்சியில் இருந்து அதன் விடுதலைக்கு பிறகு இந்திய அரசின் நில சட்டத்தின் ஸ்தாபக கொள்கைகளைக் கொண்டிருந்தது.
TMLD24	அரசியலமைப்பு நடைமுறைக்கு வந்த நாளிலிருந்து, இந்தியா பிரிட்டிஷ் அரசாட்சியில் இருந்து நீக்கப்பட்டது
TMLD25	இந்திய அரசியலமைப்பின் கூறுகள்:இந்திய அரசியலமைப்பில் 22 அத்தியாயங்களும்(Chapters) 9 அட்டவணைகளும்(Schedules) (முதலில் 8 அட்டவணைகளே இருந்தன; 1951-ல் 9-ஆவது அட்டவணை சேர்க்கப்பட்டது) 22 அத்தியாயங்களும் 395 பிரிவு (article)களாகப் பிரிக்கப்பட்டுள்ளன.
TMLD26	அவற்றில் இந்தியக் குடிமகனின் அடிப்படை உரிமைகள், அரசு நெறிமுறைக் கோட்பாடுகள், மத்திய நிர்வாகக்குழு, மாநில அரசுகள், நீதிமன்றங்கள் ஆகியன பற்றி சொல்லப்பட்டுள்ளது
TMLD27	இந்திய அரசியலமைப்பு கீழ்கண்ட முகப்புரையுடன் தொடங்குகிறது: இந்தியாவின் மக்களாகிய நாங்கள் இந்தியாவை ஒரு சுதந்திரமான, சமுதாயநலம்நாடும், சமயச்சார்பற்ற, சம உரிமைக் குடியரசு நாடாக அமைக்க மனமார்ந்து முடிவுசெய்தது,
TMLD28	அதன் குடிமக்கள் எல்லோருக்கும் சமூக, பொருளாதார, மற்றும் அரசியல் நியாயமும், எண்ணத்தில், வெளிப்பாடுகளில், நம்பிக்கையில், மதம் மற்றும் வழிபாடுகளில் சுதந்திரமும், சமூகநிலையில் மற்றும் வாய்ப்புகளில் சமத்துவமும் கிடைக்கச் செய்யவும், ஒவ்வொரு மனிதனின் மதிப்பையும் நாட்டின் ஒருமையையும் முழுமையையும் காக்கும்வண்ணம் அவர்கள் அனைவரிடமும் சகோதரத்துவத்தை ஊக்குவிக்கவும் நம் அரசியல் அமைப்பு உருவாக்கும் அவையில் இந்த 1949 நவம்பர் இருபத்தாறாம் நாளில் இங்ஙனம் இந்த அரசாங்க சாசனத்தை இயற்றி, எங்களுக்கே தந்து, ஏற்றுக்கொள்கிறோம்.
TMLD29	அடிப்படை உரிமைகள்: இந்திய அரசியலமைப்பின் முதல் அத்தியாயத்தில் நாட்டின் பெயர், ஆட்சிப்பரப்பு ஆகியனவும், இரண்டாவது அத்தியாயத்தில் குடிமை(Citizenship) பற்றியும் சொல்லப்பட்டுள்ளது.
TMLD30	12-ஆவது பிரிவு முதல் 35-ஆவது பிரிவு வரை உள்ள மூன்றாவது அத்தியாயத்தில் இந்தியரின் அடிப்படை உரிமைகள் பட்டியலிடப்பட்டு உள்ளன.
TMLD31	அவற்றுள்:இந்தியாவிற்குள் அனைவரும் சம பாதுகாப்பு(பிரிவு-14),வேறுபாடின்றி சட்டத்தின் முன் அனைவரும் சமம்(பிரிவு-15),பொதுவேலைவாய்ப்பில் சம வாய்ப்பு(பிரிவு-16),தீண்டாமை ஒழிப்பு(பிரிவு-17),பட்டங்கள் ஒழிப்பு(பிரிவு-18),ஏழு சுதந்திரங்கள்(பிரிவு-19 முதல் 22),சமய உரிமை(பிரிவு 25-28),கல்வி உரிமை(பிரிவு 29),இவ்வுரிமைகளைக் காத்துக் கொள்ள உச்ச நீதிமன்றத்தில் வழக்கு தொடரும் உரிமை (பிரிவு-32)ஆகியன முக்கியமனவையாகும்.
TMLD32	நெருக்கடி நிலையின் போது தற்காலிகமாக அடிப்படை உரிமைகள் நீக்கப்படும். ஆனால் நெருக்கடி நிலை ரத்தானதும் அடிப்படை உரிமைகள் தானாக அமுலாகிவிடும்.
TMLD33	அரசு நெறிமுறைக் கோட்பாடுகள்:இந்தியாவிலுள்ள மத்திய மாநில அரசுகள் மக்களைப் பாதுகாத்து நல்வழிப்படுத்த, எந்தக் கோட்பாடுகளை உள்ளடக்கி சட்டங்கள் இயற்ற வேண்டும் என்பதே அரசு நெறிமுறைக் கோட்பாடுகள்(Directive Principles) ஆகும்.
TMLD34	இது பற்றி நான்காம் அத்தியாயத்தில் குறிப்பிடப்பட்டுள்ளது. எல்லோரும் போதுமான வாழ்க்கை வசதிகள், வயதுக்கும் வேலைக்கு ஏற்ற பொருத்தமான வேலை, தொழில் செய்ய ஏற்ற சூழ்நிலை, வேலைக்கு ஏற்ற வயது வரை இலவச கட்டாயக் கல்வி, பொது சுகாதாரம், மது விலக்கு, வேளாண்மை வளர்ச்சி, வரலாற்றுச் சின்னங்கள் பாதுகாப்பு, சட்டம்-ஒழுங்கு ஆகியன அக்கோட்பாடுகளுள் சிலவாகும்.
TMLD35	இக்கோட்பாடுகள் யாவும் அறிவுரைகளே; இவற்றைச் செயல்படுத்தக் கோரி அரசுகள் மீது நீதிமன்றங்களில் வழக்கு தொடர முடியாது.
TMLD36	மத்திய நிர்வாகக் குழு:குடியரசுத் தலைவர், குடியரசுத் துணைத்தலைவர், மத்திய அமைச்சரவை, பாராளுமன்றம் ஆகியவற்றைக் கொண்டதாக மத்திய நிர்வாகக் குழு அமையும்.
TMLD37	குடியரசுத் தலைவர் (President of India):இந்தியக் குடியரசுத் தலைவர்என்பவர் இந்தியக் குடியரசு எனப்பட்ட "இந்திய அரசின் தலைவர்" ஆவார். மத்திய நிர்வாகக் குழுவின் தலைவரும், கூட்டாட்சி நிர்வாகத்தின் தலைவரும், இந்திய இராணுவத்தின் முப்படைகளின் தலைமைத் தளபதியும் ஆவார். 'இந்தியாவின் முதல் குடிமகன்' என்றும் அவர் குறிப்பிடப்படுகிறார்.
TMLD38	குடியரசுத் துணைத் தலைவர்:இந்தியாவின் இரண்டாவது மிக உயர் பதவிக்குரியதாகும், குடியரசுத் தலைவருக்கு அடுத்த நிலையில் வரும் பதவியாகும்.
TMLD39	துணைக்குடியரசுத்தலைவரே நாடாளுமன்றத்தின் மாநிலங்களவைத் தலைவராவார். எனினும் இவருக்கு மாநிலங்களவை வாக்கெடுப்பில் வாக்களிக்கும் உரிமை இல்லை. ஏனெனில் இவர் மாநிலங்களவை உறுப்பினர் அல்லர். எனினும் வாக்குகள் சமநிலையில் இருக்கும் போது இவர் வாக்களிக்கலாம்.
TMLD40	1935 முன்பான பிரித்தானிய நாடாளுமன்றத்தின் சட்டங்கள்:அச்சட்டம் மேலும் இங்கிலாந்தில் இந்திய மாநில செயலாளர் அலுவலகத்தை நிறுவி நாடாளுமன்றம், அதன் மூலம் ஆட்சி செய்தது. அதே போல் இந்திய அரச பிரதிநிதி அலுவலகத்தை நிறுவியது. நிருவாகச் சபை மற்றும் அல்லாத அதிகாரப்பூர்வ உறுப்பினர்கள் கொண்ட சட்ட சபையியை இந்திய சபைகள் சட்டம், 1861 வழங்கியது.
