ID	Value
TMLTD1	இலக்கியம்\N_NN என்பது\CC_CCS_UT விரிந்த\JJ பொருளில்\N_NN எழுதிய\JJ அனைத்தையும்\N_NN குறிக்கும்\V_VM_VF .\RD_PUNC இந்த\DM_DMD வரையறையின்\N_NN கீழ்\RP_RPD இலக்கியத்தை\N_NN இரு\QT_QTC வகைகளாக\RB பிரிக்கலாம்\V_VM_VF .\RD_PUNC
TMLTD2	இன்பியல்\N_NN இலக்கியம்\N_NN ,\RD_PUNC அறிவியல்\N_NN இலக்கியம்\N_NN `\RD_PUNC இன்பியல்\N_NN `\RD_PUNC இலக்கியம்\N_NN ``\RD_PUNC கற்போர்\V_VM_VF உள்ளத்துக்கு\N_NN இன்பம்\N_NN தரும்\V_VM_VNF நூல்கள்\N_NN ``\RD_PUNC .\RD_PUNC அறிவியல்\N_NN இலக்கியம்\N_NN கற்போருக்கு\V_VM_VF அறிவை\N_NN முதன்மையாக\RB தரும்\V_VM_VNF இலக்கியம்\N_NN .\RD_PUNC
TMLTD3	தமிழ்\N_NN குறைந்தது\V_VM_VNG 2000\QT_QTC வருடங்கள்\N_NN இலக்கிய\JJ வளமும்\N_NN தொடர்ச்சியும்\N_NN கொண்ட\JJ ஒரு\QT_QTC மொழி\N_NN ஆகும்\V_VAUX .\RD_PUNC
TMLTD4	எனினும்\CC_CCS ,\RD_PUNC தமிழ்\N_NN இலக்கியங்களில்\N_NN பெரும்பாலானவை\N_NN இன்பியல்\N_NN இலக்கியங்களே\N_NN .\RD_PUNC
TMLTD5	இது\PR_PRP ``\RD_PUNC இலக்கிய\JJ வளர்ச்சி\N_NN அரசர்களையும்\N_NN குறுநில\JJ மன்னர்களையும்\N_NN சுற்றிவந்ததால்\V_VM_VNF ``\RD_PUNC ஏற்பட்டிருக்கலாம்\V_VM_VF .\RD_PUNC
TMLTD6	அதன்\PR_PRP விளைவாக\RB இலக்கியம்\N_NN என்ற\CC_CCS_UT சொல்\N_NN தமிழில்\N_NN இன்பியல்\N_NN இலக்கியத்தையே\N_NN பெரும்பாலும்\RB குறித்து\V_VM_VNF நிற்கின்றது\V_VM_VF .\RD_PUNC
TMLTD7	சிறுகதை\N_NN ,\RD_PUNC நாவல்\N_NN ,\RD_PUNC கவிதை\N_NN ,\RD_PUNC நாடகம்\N_NN ஆகிய\JJ எழுத்துக்கலை\N_NN வடிவங்களே\N_NN இன்று\N_NST தமிழ்\N_NN இலக்கியம்\N_NN என\CC_CCS_UT பொதுவாக\RB கருதப்படுகின்றது\V_VM_VF .\RD_PUNC
TMLTD8	தமிழ்\N_NN இலக்கிய\JJ வரலாற்றில்\N_NN அறிவியல்\N_NN இலக்கிய\JJ படைப்புகள்\N_NN மிக\RP_INTF அரிது\V_VM_VF .\RD_PUNC
TMLTD9	வரலாற்று\N_NN ரீதியில்\N_NN வடமொழியுடனும்\N_NN தற்கால\JJ ரீதியில்\N_NN ஆங்கிலத்திடனும்\N_NN ஒப்பிடுகையில்\N_NN இந்தக்\DM_DMD குறை\N_NN தெளிவாக\RB தெரியும்\V_VM_VF .\RD_PUNC
TMLTD10	இன்று\N_NST அறிவியல்\N_NN தமிழ்\N_NN இலக்கியத்தின்\N_NN தேவை\N_NN கருதி\N_NN அறிவியல்\N_NN தமிழை\N_NN வளர்க்க\V_VM_VINF தமிழ்நாடு\N_NN அரசும்\N_NN தமிழ்\N_NN ஆர்வலர்களும்\N_NN பெரிதும்\RB முயன்று\V_VM_VNF வருகின்றனர்\V_VM .\RD_PUNC
