ID	Value
TMNSDD1	தேசிய\JJ பாதுகாப்பு\N_NN முகவர்\N_NN (\RD_SYM National\RD_RDF Security\RD_RDF Agency\RD_RDF -\RD_PUNC NSA\RD_RDF )\RD_SYM என்பது\CC_CCS_UT அமெரிக்காவின்\N_NNP சமிக்கைப்\N_NN புலனாய்வின்\N_NN மத்திய\JJ உற்பத்தியாளரும்\N_NN முகாமையாளர்\N_NN அமைப்பும்\N_NN ஆகும்\V_VM .\RD_PUNC 
TMNSDD2	இது\PR_PRP பாதுகாப்பு\N_NN திணைக்களத்தின்\N_NN நீதி\N_NN பரிபாலணத்தின்\N_NN கீழ்\N_NN இயங்கி,\N_NN தேசிய\N_NN புலனாய்வு\N_NN இயக்குனருக்கு\N_NN அறிக்கை\N_NN வழங்குகின்றது.\N_NN
TMNSDD3	தேசிய பாதுகாப்பு ஆலோசகர் (National Security Advisor-NSA) தேசிய பாதுகாப்பு சபையின் (NSC) தலைமை நிர்வாகியும் மற்றும் தேசிய மற்றும் சர்வதேச பாதுகாப்பு தொடர்பான இந்தியாவின் பிரதமரின் முதன்மை ஆலோசகரும் ஆவார்.
TMNSDD4	உளவுத்துறை , ஆராய்ச்சி மற்றும் பகுப்பாய்வு பிரிவு மற்றும் புலனாய்வு பிரிவுகள் நேரிடையாகப் பிரதமரிடம் அல்லாமல் தேசிய பாதுகாப்பு ஆலோசகரின் கீழ் வேலை செய்கின்றன .
TMNSDD5	இந்தியாவின் தேசிய பாதுகாப்பு ஆலோசகர் பிரதிநிதி நேச்சல் சந்து . இவர் இலங்கைக்கு திடீர் பயணம் மேற்கொண்டதாக இந்திய ஊடகங்கள் தெரிவித்துள்ளன .
TMNSDD6	இந்தியாவின் தேசிய பாதுகாப்பு ஆலோசகர் பிரதிநிதி நேச்சல் சந்து. இவர் இலங்கைக்கு திடீர் பயணம் மேற்கொண்டதாக இந்திய ஊடகங்கள் தெரிவித்துள்ளன.
TMNSDD7	கொழும்பில் கடல் பாதுகாப்பு தொடர்பில் முத்தரப்பு கூட்டம் நடந்தது.
TMNSDD8	அதில் இவர் கலந்து கொள்வார் என எதிர்பார்க்கப்பட்டது.
TMNSDD9	ஆனால் அதில் இந்தியா, இலங்கை, மாலத்தீவு கடலோர பாதுகாப்பு படை அதிகாரிகள் மட்டுமே கலந்து கொண்டனர்.
TMNSDD10	இந்திய தேசிய பாதுகாப்பு ஆலோசகர் பிரதிநிதி நேச்சல்சந்து பங்கேற்கவில்லை.
TMNSDD11	எனினும் நேற்று மாலை இலங்கை ஜனாதிபதி ராஜபக்ஸவின் சகோதரரும் தேசிய பாதுகாப்பு அமைச்சின் செயலாளருமான கோத்தாபய ராஜபக்ஸவை சந்தித்து பேச்சுவார்த்தை நடத்தி உள்ளார்.
TMNSDD12	இவர்களது சந்திப்பு கொழும்பில் உள்ள இலங்கை பாதுகாப்பு அமைச்சகத்தில் நடந்தது.
TMNSDD13	அப்போது இலங்கைக்கான இந்திய தூதர் யஷ்வந்த்குமார் சின்கா உடன் இருந்தார்.
TMNSDD14	இந்த சந்திப்பின் போது இவர்களின் பேச்சு விவரம் வெளியிடப்படவில்லை.
TMNSDD15	இருநாட்டு நலன்கள் தொடர்பாக பேச்சுகள் நடந்தது என குறிப்பிடப்பட்டது.
TMNSDD16	இந்த நிலையில், இந்திய தேசிய பாதுகாப்பு ஆலோசகர் பிரதிநிதி நேச்சல் சந்து ஏன் இலங்கை சென்றார் எனற தகவல் மிகவும் இரகசியமாகப் பேணப்படுகிறதாக தெரிய வருகிறது.
TMNSDD17	ஆண்மையில் தேசிய பாதுகாப்பு அமைச்சின் செயலாளருமான கோத்தாபய ராஜபக்ஸ புதுடெல்லிக்கு ரகசிய பயணம் மேற்கொண்டார்.
TMNSDD18	அப்போது இந்திய தேசிய பாதுகாப்பு ஆலோசகர் சிவசங்கர் மேனன் உள்ளிட்ட பாதுகாப்பு அதிகாரிகளுடன் பேச்சு நடத்தியிருந்தார் என்பது குறிப்பிடத்தக்கது.
TMNSDD19	2006 ஆம் ஆண்டிலிருந்து தேசிய பாதுகாப்புத் தினமானது வருட நிகழ்வாகும்.
TMNSDD20	இவ்வருடம் மாவட்ட செயலகம் மற்றும் வடமேல் மாகாணசபை ஆகியவற்றுடன் ஒன்றிணைந்து தேசிய பாதுகாப்பு நினைவுவிழா குருணாகலில் கொண்டாடப்பட்டது.
TMNSDD21	டிசெம்பர் 26 ஆம் தேதியை தேசிய பாதுகாப்பு தினமென 2006 ஆண்டில் அமைச்சரவை பிரகடனப்படுத்தியதைத் தொடர்ந்து, தேசிய பாதுகாப்பு தினம் முதன்முதலில் கண்டியில் கொண்டாடப்பட்டது.
