ID	Sentence
TMPHD1001	ஒருவர் உன்னைத் உயர்த்திப் பேசும் போது விழிப்போடு இரு. ஒருவர் உன்னைத் தாழ்த்தி பேசும் போது ஊமையாய் இரு. புகழ்ந்து பேசும் போது செவிடனாய் இரு. எளிதில் வெற்றி பெறலாம். விட்டுக் கொடுங்கள்; விருப்பங்கள் நிறைவேறும் தட்டிக் கொடுங்கள்; தவறுகள் குறையும்.மனம் விட்டுப் பேசுங்கள் – அன்பு பெருகும்.
TMPHD1002	நண்பரின் சட்டைப்பையில் துவாரம் இருக்கும்போது அதில் நாணயங்களை போடுவதின் மூலம் அவருக்கு உதவி செய்ய முடியாது.
TMPHD1003	வாழ்க்கையில் மாறாதது மாற்றம் மட்டுமே.
TMPHD1004	4.
TMPHD1005	கண்கள், தம்மைத் தாமே நம்புகின்றன. காதுகளோ மற்றவரை நம்புகின்றன.
TMPHD1006	துன்பங்களை வளர்ப்பதும் தனிமை தான்; தணிப்பதும் தனிமை தான்.
TMPHD1007	நல்ல சொற்கள் நம்மைச் சிந்திக்க வைக்கின்றன. நல்ல செயல்கள் நம்மை மெளனமாக்குகின்றன.
TMPHD1008	அவசரம், ஆளை மட்டுமல்ல, அலுவலையும் கெடுக்கிறது. - ஓர் அனுபவசாலி.
TMPHD1009	நூறு வார்த்தைகள் வலியை ஏற்படுத்தாது; ஆனால், ஒரு நல்ல நண்பனின் மவுனம் இதயத்தில் அதிகக் கண்ணீரை ஏற்படுத்தும்.
TMPHD1010	அன்புள்ள இடத்தில்தான் ஆண்டவன் இருக்கிறான்- காந்தியடிகள்.
TMPHD1011	வாழ்க்கை என்பதே ஒன்றை விட்டு ஒன்றை பிடிக்க முயன்று எல்லாவற்றையும் கோட்டை விடுவதே.
TMPHD1012	இடர்களைக் கண்டு அஞ்சாமல் இருப்பதே விரைவான முன்னேற்றத்திற்கான வழியாகும். – அரவிந்தர்.
TMPHD1013	மனிதனை மாற்றி அமைக்கும் விதி, அவனது ஒழுக்கமே.
TMPHD1014	கோபம் என்னும் அமிலம் எறியப்படும் இடத்தைவிட அதை வைத்துக் கொண்டிருக்கும் கலதத்தையே பெரிதும் நாசப்படுத்தி விடும்.
TMPHD1015	ஒரு நொடி துணிந்தால் இறந்துவிடலாம். ஒவ்வொரு நொடியும் துணிந்தால் நாம் ஜெயித்து விடலாம்.
TMPHD1016	என்றாவது நான் ஆசிரியரானால், அது கல்வி போதிக்க மட்டுமல்ல, கல்வி கற்பதற்காகவும் இருக்கும்.
