ID	Sentence
TMPOD1	அரசியல் என்பது மக்கள் குழுக்களில் முடிவெடுக்கும் முறையைக் குறிக்கும் சொல்.
TMPOD2	பொதுவாக அரசமைப்புகளின் செயல்பாட்டைக் குறிக்கப் பயன்படுத்தப்பட்டாலும், அரசியல் உண்மையில் அலுவலக, கல்வி, மற்றும் சமய நிறுவனங்கள் உட்பட அனைத்து மனித குழு ஊடாடல்களிலும் காணப்படுகின்றது.
TMPOD3	அரசறிவியல், அரசியற் கல்வி என்பது அரசியல் நடத்தை குறித்து கற்பதுடன், அதிகாரத்தைப் பெற்றுக்கொள்ளுதல் மற்றும் அதனைப் பயன்படுத்துதல் தொடர்பாகவும் ஆய்வு செய்கின்றது.
TMPOD4	அரசியல் என்பது என்ன என்பது பற்றிப் பலர் பல கோணங்களிலிருந்து பார்த்து வரைவிலக்கணம் கொடுத்துள்ளார்கள். இவ்வரைவிலக்கணங்களுள் சில கீழே தரப்பட்டுள்ளன.
TMPOD5	அகரமுதலி: அரசியல் என்பது "ஆட்சி செய்வதற்குரிய கலையும், அறிவியலும் ஆகும்."
TMPOD6	பாடப்புத்தகம்: குறிப்பாக, இது "பொதுத் திட்டங்களுக்காக, மக்கள் ஆதரவைத் திரட்டுவதன்மூலம், முரண்பாடுகளைத் தீர்க்கும் ஒரு நடைமுறையாகும்". - அரசு மற்றும் அரசியலுக்கான ஒரு அறிமுகம், டிக்கர்சனும் பிளானகனும் (Dickerson and Flanagan).
TMPOD7	கோட்பாட்டுப் பார்வை: "என்ன, எப்பொழுது, எங்கே, எப்படி யார் பெறுகிறார்கள்" என்பதே அரசியல் என்கிறார், ஹரல்ட் லாஸ்வெல் என்பார்.
TMPOD8	மாவோ செடாங் கூறியது: " அரசியல் என்பது இரத்தம் சிந்தாத போர். போர் என்பது இரத்தம் சிந்தும் அரசியல்"
TMPOD9	ஓட்டோ வொன் பிஸ்மாக்: "அரசியல் என்பது சாத்தியப் பாட்டுக்குரிய ஒரு கலையாகும்"
TMPOD10	1651ஆம் ஆண்டில், தோமஸ் ஹோப்ஸ் (Thomas Hobbes) என்பவர் தனது புகழ்பெற்ற லெவியாதன் (Leviathan) என்னும் நூலை வெளியிட்டார்.
TMPOD11	அதிலே, அரசின் தோற்றத்தை நியாயப்படுத்துவதற்கான தொடக்ககால மனித வளர்ச்சியின் மாதிரி (model) ஒன்றை முன்மொழிந்தார்.
TMPOD12	இலட்சியத் தன்மை கொண்ட இயற்கையின் அரசு பற்றிய அவரது விளக்கத்தின்படி, ஒவ்வொரு மனிதனும், இயற்கையின் வளங்கள் தொடர்பில் சம உரிமை கொண்டிருந்ததுடன், அவ்வளங்களை அடைவதற்கு எத்தகைய வழியையும் பயன்படுத்துவதற்கான சுதந்திரத்தையும் பெற்றிருந்தார்கள்.
TMPOD13	இவ்வாறான ஒரு ஒழுங்கு, எல்லோருக்கும் எதிராக எல்லோரும் போர் செய்யும் ஒரு நிலையை உருவாக்கியதாக ஹோப்ஸ் கூறுகிறார். மேலும், குறிப்பிட்ட பாதுகாப்புக்காக, ஒரு சமூக ஒப்பந்தம் ஒன்றைச் செய்துகொண்டு முழு அளவு உரிமையை விட்டுக்கொடுக்கவும் மனிதர்கள் தயாராக இருந்தார்கள் என அவர் குறிப்பிடுகின்றார்.
