ID	Sentence
TMRED1001	முக்தாபாய் என்னும் பதினான்கு வயது சிறுமி எழுதிய கடிதத்தின் சில பகுதிகளை முதலில் படித்துவிடுங்கள்.
TMRED1002	. . . எங்களைவிட உயர்ந்தவர்கள் என்று தங்களை நினைத்துக்கொள்ளும், எங்களை வெறுக்கும் பிராமணர்களின் வாதத்தின்படி பார்த்தால் வேதம் என்பது அவர்களுக்குச் சொந்தமான ஒரு சொத்து.
TMRED1003	அவர்களுக்கு மட்டும்தான் வேதம் உரியது என்பது உண்மையானால் அது சர்வநிச்சயமாக எங்களுக்கானது இல்லைதான்.
TMRED1004	ஓ, இறைவனே! உன்னுடைய உண்மையான மதத்தை எங்களுக்குக் கற்றுக்கொடு. அதன்படியே வாழ நாங்கள் தயாராக இருக்கிறோம்.
TMRED1005	ஒருவர்தான் உயர்ந்தவர் மற்றவர்கள் ஒன்றுமில்லாதவர்கள் என்பதாக இருக்கும் மதத்தை இந்த பூமியைவிட்டே அகற்றிவிடு. அப்படியொரு மதத்தைப் பெருமையாகக் கருதும் போக்கையும் அகற்றிவிடு.
TMRED1006	. . . புனிதமான ஆடை என்று சொல்லி அணிந்துகொள்ளும் இந்த இரக்கமற்ற பிராமணர்கள், தாழ்த்தப்பட்டவர்கள் என்று முத்திரை குத்தப்பட்டதற்காகத் துயரப்படும் எங்களுக்காக ஒரு துளியாவது கருணை கொள்வார்களா? தீண்டத்தகாதவர்கள் என்பதால் எங்களுக்கு யாரும் வேலை கொடுப்பதில்லை. எங்களிடம் பணம் இல்லை
TMRED1007	அதனால் எங்கள் துன்பங்களை நாங்கள் தாங்கிக்கொள்ளத்தான் வேண்டும். ஓ, படித்த பண்டிதர்களே, ஞானம் குறித்த உங்களுடைய சுயநலன்மிக்க பிதற்றல்களையெல்லாம் ஒதுக்கிவைத்துவிட்டு நான் சொல்வதை காது கொடுத்து கேளுங்கள்.
TMRED1008	. . . எங்கள் பெண்கள் குழந்தைகள் பெறும்போது அவர்கள் வீட்டில் மேற்கூரை இருப்பதில்லை. குளிரிலும் மழையிலும் அவர்கள் எவ்வளவு வேதனைப்படுவார்கள் தெரியுமா! உங்களுடைய அனுபவங்களைக் கொண்டு இதை யோசித்துப் பாருங்கள்
TMRED1009	பிரசவத்தின்போது அவர்கள் நோய்வயப்பட்டால் மருத்துவம் பார்க்க அவர்களிடம் பணமா இருக்கிறது? பணம் பெற்றுக்கொள்ளாமல் இப்படிப்பட்டவர்களுக்கு வைத்தியம் பார்க்க மனிதத்தன்மை கொண்ட மருத்துவர் யாராவது உங்களிடம் இருக்கிறார்களா?
TMRED1010	பிராமணக் குழந்தைகள் மங் மற்றும் மகர் குழந்தைகள்மீது கற்களை வீசினாலும், மோசமான முறையில் காயத்தை உண்டாக்கினாலும் அவர்கள் அமைதியாகத்தான் இருக்கவேண்டும்.
TMRED1011	யாரிடமும் புகார்கூடச் சொல்லமுடியாது. ஏனென்றால் மிஞ்சி போன உணவுக்காக அவர்கள் பிராமணர்கள் வீட்டுக்குத்தான் பிச்சை எடுக்கப் போகவேண்டும்
TMRED1012	ஐயோ, கடவுளே! எத்தனை கொடிய வேதனை இது! இந்த அநீதி குறித்து மேற்கொண்டு எழுதினால் நான் வெடித்து அழுதுவிடுவேன். . .
TMRED1013	1855ல் இந்தக் கடிதம் எழுதப்பட்ட பிறகு முக்தாபாய்க்கு என்ன ஆனது என்பது தெரியவில்லை. கடிதத்தின் தொனி மற்றும் எழுதப்பட்ட முறையில் இருந்து முக்தாபாய் உறுதியும் தெளிவும் மிக்க ஒரு பெண் என்பது நமக்குத் தெரிய வருகிறது
TMRED1014	19ம் நூற்றாண்டு மகாராஷ்டிராவில் ஒரு பெண்ணாகவும் தீண்டத்தகாதவளாகவும் இருந்துகொண்டு துணிச்சலுடன் இப்படி ஒருவர் எழுதுவது என்பது உண்மையிலேயே அசாதாரணமானதுதான்.
TMRED1015	தீண்டக்காதவர்களுக்கும் பெண்களுக்கும் கல்வி தேவையில்லை என்னும் கருத்தாக்கம் வலுவாக இருந்த காலகட்டம் அது
TMRED1016	. மகாராஷ்டிராவில் உள்ள மகர் பிரிவினர் இந்து மதத்தின் படிநிலை வரிசையில் அடித்தளத்தில் வைக்கப்பட்டிருந்தனர்.
TMRED1017	அவர்களுடைய வாழ்நிலை எப்படியிருந்தது என்பதை 1900களின் தொடக்கத்தில் தி இம்பீரியல் கஸெட்டர் ஆஃப் இந்தியா நாக்பூர் மாவட்டம் குறித்து பதிவு செய்திருக்கும் ஒரு குறிப்பில் இருந்து தெரிந்துகொள்ளலாம்.
TMRED1018	. ‘மொத்தமுள்ள மக்கள்தொகையில் மகர்கள் ஆறில் ஒரு பங்கு இருந்தனர். அவர்களில் பெரும் பகுதியினர் விவசாயிகளாகவும் தொழிலாளர்களாகவும் இருந்தனர்
TMRED1019	கிராமப்புற மகர்கள் இன்னமும் அசுத்தமானவர்களாகவே கருதப்பட்டு வந்தனர். கிராமத்தின் கிணற்றிலிருந்து நீர் எடுக்க அவர்களுக்கு அனுமதியில்லை
TMRED1020	இந்து குழந்தைகளுடன் அவர்களுடைய குழந்தைகள் ஒன்றாக அமர்ந்து கல்வி கற்கமுடியாது.’
TMRED1021	பிற்போக்கான இந்தச் சமூகத்தைத் திருத்தமுடியாதா என்னும் ஏக்கத்தோடு பணியாற்றிய சீர்திருத்தவாதிகள் மத்தியில் ஜோதிராவ் புலே (11 ஏப்ரல் 1827 – 28 நவம்பர் 1890) தனித்துவமிக்க ஒரு போராளியாகத் திகழ்கிறார்.
TMRED1022	அங்கே, இங்கே என்று சில மாற்றங்களைக் கொண்டு வருவது போதாது, அனைத்து பிரச்னைகளுக்குமான ஆணிவேரைத் தேடிப்பிடித்து கடுமையாகப் போரிடவேண்டும் என்றார் புலே
TMRED1023	அவர் கண்டறிந்த அந்த ஆணிவேர், சாதிய ஒடுக்குமுறை
TMRED1024	சமூகத்தில் ஒரு பிரிவினர் உயர் நிலையிலும் ஏனையோர் கீழ்நிலையிலும் இருப்பதற்கான சித்தாந்த விளக்கத்தையும் தார்மிக நியாயத்தையும் சாதியம் அளிப்பதை அவர் கண்கூடாகக் கண்டார்
TMRED1025	ஏழை விவசாயிகளையும் தொழிலாளர்களையும் அடித்தட்டு மக்களையும் தீண்டத்தகாதவர்களையும் அவர்களுடைய சங்கிலிகளை உடைத்தெறிந்து விடுவிக்கவேண்டியது தன்னுடைய கடமை என்று வரிந்துகொண்டார்
TMRED1026	இதே காரணங்களுக்காக அவர் அம்பேத்கர், பெரியார் ஆகியோரோடு இணைத்து இன்று நினைவுகூரப்படுகிறார்.
TMRED1027	ஜோதிராவின் தந்தை கோவிந்த்ராவ் புனேயில் ஒரு காய்கறி வியாபாரியாக இருந்தவர். மகாராஷ்டிராவில் உள்ள சதாரா என்னும் மாவட்டத்தில் இருந்து குடியேறிய குடும்பம் அவருடையது.
TMRED1028	கோவிந்த்ராவ் மற்றும் அவருடைய சகோதரர்கள் மலர் வியாபாரம் செய்துவந்ததால் புலே என்னும் பெயர் அவர்களுடன் ஒட்டிக்கொண்டது.
TMRED1029	ஜோதிராவுக்கு ஒரு வயது நிறைவடைவதற்குள் அவருடைய தாயார் இறந்துபோனார்.
TMRED1030	ஆரம்ப கல்வியை மட்டும் முடித்துக்கொண்டு தன் தந்தைக்கு உதவி செய்ய வந்துவிட்டார் ஜோதிராவ்.
TMRED1031	பதின்மூன்று வயது நிறைவடைவதற்குள் அவருக்குத் திருமணமும் முடித்து வைத்துவிட்டார்கள்.
TMRED1032	ஜோதிராவின் அறிவுத் தேடலையும் புத்திசாலித்தனத்தையும் கண்டுகொண்ட ஒரு முஸ்லிம் ஆசிரியரும் ஒரு கிறிஸ்தவரும் தங்களுடைய நண்பரான கோவிந்த்ராவிடம் சென்று ஜோதிராவைத் தொடர்ந்து படிக்கவைக்குமாறு கேட்டுக்கொண்டனர்
TMRED1033	1841ல் புனேயில் உள்ள ஸ்காட்டிஷ் உயர்நிலைப் பள்ளியில் சேர்ந்து படித்தார் ஜோதிராவ்.
TMRED1034	இங்குதான் சதாஷிவ பல்லால் கோவந்தே என்னும் பிராமண மாணவரின் நட்பு கிடைத்தது. வாழ்நாள் முழுவதும் இந்த நட்பு நீடித்தது.
TMRED1035	இவர்கள் இருவரும் ஒன்றிணைந்து தாமஸ் பெய்னின் தி ரைட்ஸ் ஆஃப் மேன் புத்தகத்தை விரும்பி வாசித்தார்கள்.
TMRED1036	1847ல் படிப்பை முடித்துக்கொண்ட ஜோதிராவ் புலே, அரசு உத்தியோகத்தை நாடிச் செல்லக்கூடாது என்று முடிவெடுத்தார்.
TMRED1037	ஒரு நாள் பிராமண நண்பர் ஒருவரின் திருமணத்தில் கலந்துகொள்வதற்காகச் சென்றிருந்தார் ஜோதிராவ் புலே. மாப்பிள்ளை ஊர்வலமாகச் செல்லும்போது அவருடைய உறவினர்களின் மத்தியில் ஜோதிராவும் கலந்துகொண்டார்.
TMRED1038	இதனை அவர்கள் கவனித்துவிட்டார்கள். மில் என்னும் தாழ்ந்த சாதியைச் சேர்ந்த ஒருவன் நம்மில் ஒருவராக வருவதா என்று சினம்கொண்ட அவர்கள் ஜோதிராவை அவமானப்படுத்தி விலக்கி வைத்தார்கள்.
TMRED1039	கண்களில் அழுகையும் நெஞ்சம் முழுக்க கோபமும் பொங்க ஜோதிராவ் வீடு திரும்பினார்.
TMRED1040	1848ம் ஆண்டு நடந்த இந்தச் சம்பவத்தின்மூலம் சாதிய ஏற்றத்தாழ்வையும் மேலாதிக்கத்தையும் அவர் கண்கூடாக உணர்ந்துகொண்டார்.
TMRED1041	மனிதர்களை மனிதர்களாக வாழவிடாத சாதிய ஒடுக்குமுறையைக் களைந்து சூத்திரர்களுக்கும் பெண்களுக்கும் தீண்டத்தகாதோருக்கும் விடுதலை வாங்கித் தருவதை லட்சியமாகக் கொண்டு ஜோதிராவ் புலே பணியாற்றத் தொடங்கினார்.
TMRED1042	சாதியின் பெயரால் இழிவுபடுத்தப்பட்ட மக்கள் எஜமானர்கள் என்றும் உயர்ந்தவர்கள் என்றும் கடவுளுடன் உரையாடுபவர்கள் என்றும் தாம் கருதிவரும் மேல் சாதியினரை எதிர்த்துப் போராடவேண்டியது அவசியம்; இந்தச் சமமற்ற சமூக நிலைமையை சீர்திருத்தமுடியாது,
TMRED1043	புரட்சிகரமாக மாற்றியமைப்பது மட்டுமே விடுதலையை அளிக்கும் என்று புலே முடிவு செய்தார். இந்தப் போராட்டத்தில் ஒன்றுமற்ற நிராதரவான தாழ்த்தப்பட்ட மக்கள் எப்படி பலமிக்க, செழிப்பான உயர் சாதியினருடன் போராடமுடியும்?
