ID	Sentence
TMSTD1	உலகில் எந்த ஒரு தனிப்பட்ட நாட்டின் பங்களிப்பைவிடவும் கணிதவியலில் இந்தியாவின் பங்களிப்பு மிக முக்கியத்துவம் வாய்ந்தது.
TMSTD2	தவிர்க்க இயலாத ஒன்று. நம் நாட்டின் கணிதவியல் கண்டுபிடிப்புகள் மற்ற நாட்டு அறிஞர்களின் கண்டுபிடிப்புகளிலிருந்து தனித்துவமானது சார்பற்றது.
TMSTD3	பண்டைய காலங்களில் கணிதம் நடைமுறை பயன்பாட்டுக்கு உபயோகப்படுத்தும் முறையாகவே இருந்தது.
TMSTD4	கணித முறைகள் மற்றும் அளவீட்டு முறைகள் கட்டடக்கலை மற்றும் சிற்பக்கலை சார்ந்த தொழில்களில் ஒவ்வொரு பாகங்களின் அளவுகளை சரியான முறையில் அமைக்கவும், அளவீட்டு சிக்கல்களை தீர்ப்பதற்காகவும் கண்டுபிடிக்கப்பட்ட ஒரு அற்புத அறிவியல் இது. பண்டைய காலக் கட்டத்தில் இருந்து வந்துள்ளதை பல்வேறு சான்றுகளின் மூலமாக அறியமுடிகிறது.
TMSTD5	இந்திய கணிதவியல் காலக்கட்டத்தை சிந்து சமவெளி நாகரீகம் தொடங்கி, வேதகாலம் (பௌதாயன, சத்யானா, பாணினி)இலக்கிய காலம் (ஆரியப்பட்டா 1 , ஆரியப்பட்டா 11, பாஸ்கரா 1, பாஸ்கரா 11, பிரம்மகுப்தர், மகாவீரா, பாவ்லுரி மல்லான, வராகமித்திரர்); மத்திய காலம் (நாராயண பண்டிட், சங்கம கிராம மாதவன், நீலகண்ட சோமயாஜி, ஜேஸ்ட தேவன்); தற்காலம் (சீனிவாச ராமானுஜம், ஹரீஸ்-சந்திரா, எஸ்.என்.போஸ், சுப்ரமணியன் சந்திரசேகர், பிரளந்த சந்திர மெக்னோவீஸ், ஜயந்நார்லிகர், சீனிவாச வரதன், தாணு பத்மநாபன்) என்று ஐந்து காலக்கட்டங்களாக பிரித்து அறியலாம்.
TMSTD6	இந்த ஐந்து காலக்கட்டத்திலும் ஆங்காங்கே சில மாறுதல்களும், பார்ப்பனிய ஆதிக்க திணிப்புகளும் இந்தியக் கணிதவியலில் நடந்தேறின.
TMSTD7	இவற்றின் ஒட்டு மொத்த தொகுப்பு தான் இன்றைய இந்திய கணிதவியல் என்பது மறுக்க முடியாத உண்மை.
TMSTD8	பண்டையக் கால கணிதவியல் (கி.மு.3000 - கி.மு.600):சிந்துசமவெளி நாகரீக அகழ்வாராய்ச்சிகள் நிகழ்த்தப்படாமலிருந்தால் இந்தியச் சரித்திரம் வேதகாலத்திலிருந்துதான் தொடங்கியது என்னும் தவறான வரலாறாக மாறியிருக்கும்.
TMSTD9	இந்திய வரலாறே ஆரியமயமாக்கப்பட்டிருக்கும்.
TMSTD10	சிந்து சமவெளி நாகரீகத்தில் வழக்கத்திலிருந்த ஒரே மாதிரியான அளவீடுகளும், எடை முறைகளும் இந்திய கணிதவியலின் முதல் நிலை ஆகும்.
TMSTD11	இதனை கணக்கில் கொள்ளாமல் கணிதவியல் சரித்திரம் எழுதுவது, நுனிப்புல் மேய்வது போலவே அமையும்.
TMSTD12	கி.மு.1500-க்கும் முந்தைய காலகட்டங்களிலேயே தந்தத்திலான அளவுகோல்களை சிந்துசமவெளி நாகரீக திராவிட மக்கள் பயன்படுத்தி வந்திருக்கின்றனர்.
TMSTD13	லோதல் என்னுமிடத்தில் கண்டுபிடிக்கப்பட்ட அளவுகோல் 2 மில்லி மீட்டருக்கும் குறைவான அளவீடு ஒரு அங்குலத்தில் 1/16 பங்கு இடை வெளியில் பிரிக்கப்பட்டு, அளவீடாகப் பயன் படுத்தப்பட்டு வந்தது.
TMSTD14	மொகஞ்சதாரோவில் 1.32 அங்குலம் (33.5 மி.மீ) இடைவெளியில் அளவுகள் குறிக்கப் பட்டிருந்தது.
TMSTD15	மேலும் ஒவ்வொரு 1.32 பிரிவும் 0.005 அங்குல இடைவெளியில் மிக நுணுக்கமாக, பிழையின்றி பிரிக்கப்பட்டுள்ளது.
TMSTD16	இதன் மூலம் தசம முறை அளவீடுகள் இங்கிருந்துதான் ஆரம்பமானது என தெளிவாக விளங்கும்.
TMSTD17	அந்தக் காலகட்டத்தில் உபயோகிக்கப் பட்ட செங்கற்களின் அளவு 4:2:1 என்ற விகிதாச்சார முறையில் அமைந்திருந்தது.
TMSTD18	எல்லா அளவுகளிலும் ஒரு ஒழுங்குமுறை பின்பற்றப்பட்டிருந்தது.
TMSTD19	இந்தச் சான்றுகள் சிந்துசமவெளி நாகரீக கால கட்டத்திலேயே கணித அளவீடு படிநிலையை அடைந்திருந்ததை தெள்ளத்தெளிவாக பதிவு செய்கிறது.
TMSTD20	இதைப் பற்றிய ஆய்வு இன்னும் நடந்து வருகிறது.
TMSTD21	வேதகால கணித வளர்ச்சி: வேதகால கணிதவியல் வளர்ச்சிக்குரிய சான்றுகள் மதம் சார்ந்த நூல்களிலேயே காணப் படுகின்றன.
TMSTD22	பத்தின் அடுக்கு 12 (1012), என நூல்களில் இடம் பெற்றிருந்தன.
TMSTD23	அஸ்வபேத யாகத்தின் இறுதியில் செய்யப்படும் அன்ன ஹோமத்தில் உச்சரிக்கப்படும் மந்திரத்தில் பத்தின் அடுக்குகள் நூறு முதல் டிரில்லியன் வரையிலான எண்கள் இடம் பெற்றிருக்கிறது.
TMSTD24	அவை சத (நூறு 102), டிரில்லியன் (ஆயிரம், 103), ஆயுத (பத்தாயிரம், 102) முதல் பரார்த சங்கர (1012) வரை எண்களாகும்.
TMSTD25	யாக அக்னி குண்டம் வளர்த்துவதற்கான சிறிய கட்டிடம் போன்ற அமைப்பை கட்டுவதற்கு சில முறைகளை சுலப சூத்ரா என்ற வேதகால சமஸ்கிருத நூல் கூறுகிறது சமன்பாடு களை உபயோகப்படுத்தாமல் பிதாகரஸ் தேற்றம் பண்டைய முறையில் வார்த்தைகளால் விவரிக்கப் பட்டிருந்தது.
TMSTD26	பௌதாயனா (கி.மு.800) பௌதயன சுபல சூத்திரத்தை இயற்றியவர் இந்த காலகட்டத்தை சேர்ந்தவர்.
TMSTD27	ஒரு செவ்வகத்தின் மூலைவிட்டத்தின் வழியே இழுக்கப்படும் கயிறானது அதன் செங்குத்து மற்றும் கிடக்கை பக்கங்கள் இணைந்து உருவாக்கும் பரப்பிற்கு சமம் என்ற பொதுவான கருத்தை பௌதாயனாவின் சுலப சூத்திரம் கூறுகிறது.
TMSTD28	அதனை விளக்குவதற்கு, மிகச் சரியான முக்கோண சதுரத்தின் பக்கங்கள் (3,4,5), (5,12,13), (8,15,17) மிக துல்லியமாக கொடுக்கப்பட்டுள்ளது.
TMSTD29	பௌதாயனா இரண்டின் வர்க்கமூலம் கண்டு பிடிக்க, ஒரு சூத்திரத்தை உருவாக்கி, இரண்டின் வர்க்க மூலத்தை ஐந்து தசம இடமதிப்பு வரை துல்லியமாக கணித்தார்.
TMSTD30	சமணர்கள் கால கணிதவியல் (கி.மு.600 - கி.பி.500): சமணர்கள், மதங்களிலும், மத சடங்குகளிலும் வழிபாட்டு மந்திரங்களிலும் பின்னிப்பிணைந் திருந்த கணிதவியலை, அவற்றிலிருந்து விடுதலைப் பெற பெரும் பங்காற்றியவர்கள்.
TMSTD31	சமணக் கணிதவியலர்கள் முதன் முதலில் "சூன்யா' என்ற சுழி அல்லது பூஜ்ஜியத்தை குறிப்பிடும் பதத்தை முதன் முதலில் உபயோகப் படுத்தியவர்களாவர்.
TMSTD32	சமணர் பிரபஞ்சவியல் கருத்துகள் கணிதவியலில் "முடிவிலி' என்ற புதிய ஒரு சிந்தனைக்கு வழி வகுத்தது.
TMSTD33	ஒரு முடிவுறு கணத்திற்கு அது எத்தனை உறுப்புகளை கொண்டிருக்கிறது என்பதுதான் அடிப்படை.
TMSTD34	ஆனால் முடிவுறா கணத்திற்கு அதன் உறுப்புகளை அளவிட முடியாது.
TMSTD35	முடிவுறா கணத்தினை குறிப்பிட வேண்டுமானால் ஒரு சிக்கலான குறியீடு தேவைப்படுகிறது.
TMSTD36	ஐரோப்பாவில் இந்த முடிவிலி பற்றிய சிந்தனை வருவதற்கு 19-ஆம் நூற்றாண்டு வரை காத்திருக்க வேண்டியிருந்தது, எண்ணியல் கோட்பாடு, வடிவியல், பின்னங்கள் மற்றும் சேர்வு ஆகியவற்றை கண்டுபிடித்ததில் சமணர்களின் பங்கு மிக முக்கியமானது.
TMSTD37	மேலும் முடிவிலியை கண்டறிந்தது மட்டு மின்றி, முடிவிலியை ஐந்து வெவ்வேறு வகைகளாக பிரித்துள்ளனர்.
TMSTD38	ஒரு திசை முடிவிலி, இருதிசை முடிவிலி, ஒரு பரப்பில் முடிவிலி, எல்லாதிசையிலும் முடிவிலி, நிலையான முடிவிலி ஆகியவையே ஐந்து முடிவிலிகள்.
