ID	Sentence
TMSCD1	சுவாமி விவேகானந்தர் அவர்கள், வேதாந்த தத்துவத்தின் மிக செல்வாக்கு மிக்க ஆன்மீக தலைவர்களுள் ஒருவராக தலைச்சிறந்து விளங்குபவர்.
TMSCD2	அவர் ராமகிருஷ்ணா பரமஹம்சரின் தலைமை சீடராவார். மேலும் ‘ஸ்ரீ ராமகிருஷ்ணர் மடம்’ மற்றும் ஸ்ரீ ‘ராமகிருஷ்ணா மிஷன்’ போன்ற அமைப்புகளையும் நிறுவியவர்
TMSCD3	சுவாமி விவேகானந்தர் அவர்கள், ஏழை மக்களின் முன்னேற்றத்திற்காகவும், உதவியற்றோர் மற்றும் ஒடுக்கப்பட்டோரின் நலனுக்காகவும், நாட்டிற்காக தனது வாழ்க்கையை அர்ப்பணித்த தியாகத்தின் வாழும் அவதாரமாகத் திகழ்ந்தவர்.
TMSCD4	ஆங்கிலேயர் ஆட்சியில், இருண்டுக் கிடந்த இந்தியாவிற்கு ஒரு கலங்கரை விளக்கமாகவும், இந்தியர்கள் மத்தியில் ஆர்வத்தைத் தூண்டும் விதமாக தன்னம்பிக்கை என்னும் விதையையும் விதைத்தார்
TMSCD5	அவரது ஆணித்தரமான, முத்துப் போன்ற வார்த்தைகளும், பிரமாதமான பேச்சுத்திறனும் உறங்கிக் கொண்டிருந்த தேசிய உணர்வைத் தூண்டியது.
TMSCD6	இந்திய மக்களுக்கு ஆன்மீக ஞானஒளியை புகட்டுவதில் பெரும் பங்கு வகித்து, வேதாந்தத் தத்துவங்களை மேற்கிந்தியா முழுவதும் பரப்பி, ஏழை எளியோருக்கு சேவை செய்ய வேண்டுமென்ற உன்னத எண்ணங்கள் கொண்ட சுவாமி விவேகானந்தர் அவர்கள் பற்றி மேலுமறிய தொடர்ந்துப் படிக்கவும்.
TMSCD7	சுவாமி விவேகானந்தர் அவர்கள், கல்கத்தாவில் ஜனவரி 12, 1863ல் விஸ்வநாத் தத்தா என்பவருக்கும், புவனேஸ்வரி தேவிக்கும் மகனாகப் பிறந்தார்.
TMSCD8	அவரது இயற்பெயர் நரேந்திரநாத் தத்தா. அவர் ஒரு துறவியாக மாறிய போது, தனது இயற்பெயரை ‘சுவாமி விவேகானந்தர்’ என்று மாற்றிக் கொண்டார்.
TMSCD9	குழந்தைப் பருவமும், ஆரம்பகாலக் கல்வியும் ஒரு குழந்தையாக சுவாமி விவேகானந்தர் அவர்கள், மிகவும் கலகலப்பாகவும், குறும்புத்தனமாகவும் இருந்தார். இவர் படிப்பு மற்றும் விளையாட்டுகளில் மிகச் சிறந்து விளங்கினார்.
TMSCD10	இவர் மிகச்சிறிய வயதிலேயே, வாய்மொழி, இசைக் கருவிகள் வாசிப்பது, மற்றும் தியானம் ஆகியவற்றைப் பயிற்சி மேற்கொண்டு பயின்றார்
