ID	Value
TMSPD1	சதங்களின்\N_NN சக்கரவர்த்தி\N_NN சச்சின்.\N_NNP
TMSPD2	ஆசியக்\JJ கோப்பையில்\N_NN ஒரு\QT_QTC நாள்\N_NN மாலைப்பொழுது\N_NN ,\RD_PUNC இந்தியக்\JJ கிரிக்கெட்\N_NN ரசிகர்களுக்கு\N_NN ஓர்\QT_QTC இனிய\JJ செய்தி\N_NN .\RD_PUNC
TMSPD3	அகில\JJ உலக\JJ ஆட்டக்காரர்களுக்கு\N_NN ஓர்\QT_QTC ஆச்சர்ய\JJ செய்தி\N_NN .\RD_PUNC
TMSPD4	ஆம்\N_NN ,\RD_PUNC வங்கதேசத்திற்கு\N_NNP எதிரான\RB அப்போட்டியில்\N_NN இந்திய\JJ அணியின்\N_NN மாரத்தான்\N_NNP பேட்ஸ்மேன்\N_NN சச்சின்டெண்டுல்கர்\N_NNP சதம்\N_NN அடித்துவிட்டார்\V_VM_VF .\RD_PUNC
TMSPD5	ஓராண்டு\N_NN இடைவெளியில்\N_NN ஊசலாடிக்கொண்டிருந்த\V_VM_VNF அந்த\DM_DMD நூறாவது\QT_QTO சதம்\QT_QTC கைகூடியது\V_VM_VF .\RD_PUNC
TMSPD6	அது\PR_PRP அந்நிய\JJ மண்ணாக\N_NN இருந்தபோதிலும்\V_VM_VNF ,\RD_PUNC அரங்கமே\N_NN எழுந்துநின்று\V_VM_VNF வாழ்த்து\N_NN கூறி\V_VM_VNF ஆர்ப்பரித்தது\V_VM_VF .\RD_PUNC
TMSPD7	அந்த\DM_DMD அளப்பறிய\JJ நிகழ்வு\N_NN நடந்ததால்\V_VM_VNF அனைத்து\N_NN மீடியாக்களின்\N_NN எதிர்பார்ப்பு\N_NN செய்தியான\N_NN நூறாவது\QT_QTO சதம்\QT_QTC அடிப்பாரா\N_NN ?\RD_PUNC என்ற\CC_CCS_UT கேள்விக்கு\N_NN விடை\N_NN கொடுத்து\V_VM_VNF அனுப்பினார்\V_VM_VF சச்சின்\N_NNP .\RD_PUNC
TMSPD8	அதோடு\CC_CCD ஓய்வு\N_NN பெறுவாரா\V_VM_VINF ?\RD_PUNC என்ற\CC_CCS_UT அடுத்த\N_NN கேள்விக்கும்\N_NN சேர்த்து\N_NN தனது\PR_PRF மட்டையால்\N_NN பதிலளித்துள்ளர்\V_VM_VF .\RD_PUNC
TMSPD9	99\QT_QTC சதங்கள்\QT_QTC அடித்த\V_VM_VNF பிறகு\N_NST ,\RD_PUNC அனைவரின்\N_NN ஆர்வமும்\N_NN அவரது\N_NN தோளில்\N_NN பாரமாக\RB இறங்க\V_VM_VNF சற்று\QT_QTF மனஅழுத்தத்தோடு\N_NN ஒவ்வொரு\QT_QTC பந்துகளையும்\N_NN சந்திக்க\V_VM_VNF வேண்டியிருந்தது\V_VM_VF .\RD_PUNC 
TMSPD10	இதனால் ஏற்பட்ட இமாலய பதற்றமே ஒவ்வொரு முறையும் செஞ்சுரி வாய்ப்பை தள்ளிப் போட்டுக் கொண்டே வந்தது.
TMSPD11	இதற்கிடையே அந்த ஓராண்டிற்குள், கிட்டத்தட்ட உலகம் முழுவதும் வலம் வந்துவிட்டார், ஏறத்தாழ எல்லா அணிகளிடமும் முயற்சி செய்து பார்த்து விட்டார், நிறைவேறவில்லை.
TMSPD12	கடைசியாக இளம் வீரர்கள் அதிகம் கொண்ட வங்க தேச அணியோடு மோதிப் பார்க்கையில் மீண்டும் ஒரு நீண்ட நேர நிதானமான ஆட்டம் சச்சினிடம் வெளிப்பட்டது.
