ID	Sentence
TMTUD1001	தமிழகத்தின் வடக்குப் பகுதியில் அமைந்த சுற்றுலாத் தலமாக ஏற்காடு விளங்குகிறது.
TMTUD1002	வடக்குப் பகுதி பெரும்பாலும் பாறைகள் நிறைந்ததாகவும், வறட்சியான பகுதியாகக் காணப்பட்டாலும், ஏற்காடு இயற்கை எழில் கொஞ்சும் மலைப் பகுதியையும், அதனை ஒட்டி அழகான ஏரியையும் ஒருங்கே அமைந்து பசுமையாகக் காட்சியளிக்கிறது.
TMTUD1003	இங்கு எப்போதுமே 30 டிகிரி செல்சியசுக்கு மேலும், 13 டிகிரி செல்சியசுக்குக் கீழும் வெப்பநிலை போனதில்லை என்பது இதன் சிறப்பம்சமாகும்.
TMTUD1004	இதனாலேயே, இங்கு எப்போதுமே சுற்றுலாப் பயணிகளின் வருகை அதிகமாக இருக்கும்.
TMTUD1005	இங்கு சீசன் என்று எதுவுமில்லை. எப்போதுமே இங்கு சீசன் தான்.
TMTUD1006	மலைச் சுற்றுலா தலங்களில் ஊட்டி மற்றும் கொடைக்கானலை ஒப்பிடும் போது இங்கு குறைந்த செலவில் வந்து போகலாம் என்பதும் இதன் மற்றொரு சிறப்பு.
TMTUD1007	இங்கு வாழை, பலா மற்றும் ஆரஞ்சு பழங்களின் விளைச்சல் அமோகமாக இருக்கிறது.
TMTUD1008	ஏற்காட்டில் கண்களுக்கு விருந்தளிக்கும் பல இடங்கள் உள்ளன.
TMTUD1009	படகு வசதியுடன் கூடிய ஏரி, லேடிஸ் ஸீட், கிளியூர் நீர்வீழ்ச்சி, பகோடா பாயிண்ட், சேர்வராயன் கோயில் என சுற்றுலாப் பயணிகளுக்கு சுற்றிப் பார்க்க ஏராளமான இடங்கள் உள்ளன.
TMTUD1010	ஏற்காட்டில் அமைந்துள்ள ஏரியும், அதில் படகுச் சவாரியும், ஏற்காடு வரும் சுற்றுலாப் பயணிகளை அதிகம் கவரும் விஷயங்களாகும்.
TMTUD1011	ஏரியைச் சுற்றி அழகான தோட்டமும், ஓங்கி வளர்ந்த மரங்களும் காட்சி அளிப்பது இயற்கை விரும்பிகளுக்கு பிடித்த இடமாக மாறக் காரணமாகிறது.
TMTUD1012	இந்த ஏரிக்கு அருகே அண்ணா பூங்கா என்ற அழகான பூங்காவும் அமைந்துள்ளது.
TMTUD1013	இந்த ஏரியில் நாமே படகு சவாரி செய்து மகிழலாம்.
TMTUD1014	ஏரி முழுவதும் படகுப் பயணம் செய்ய தனி வாடகை உண்டு.
TMTUD1015	சேலம் மாநகரின் ஒட்டுமொத்த அழகையும் ஒரே இடத்தில் இருந்து ரசிக்க இந்த இடத்தை விட்டால் வேறு எங்கும் வாய்ப்பு கிட்டாது.
TMTUD1016	லேடீஸ் சீட் என்ற இப்பகுதியை பார்க்கத் தவறினால், ஏற்காடு சென்று வந்ததே வீணாகி விடும் என்ற அளவுக்கு மிகவும் பிரம்மிக்கத் தக்க இடமாக இது உள்ளது.
TMTUD1017	இரவு நேரத்தில் இங்கு வந்தால், சேலம் மாநகரமே விண்வெளியில் நட்சத்திரக் கூட்டங்களுக்கு இடையே மிதப்பது போல் தோன்றும்.
TMTUD1018	இதேப்போல பகோடா பாயிண்ட் என்ற இடமும் பாதுகாப்பாக சுற்றுலாப் பயணிகள் சேலம் நகரைப் பார்க்க அமைக்கப்பட்ட ஒரு இடமாக உள்ளது.
TMTUD1019	சுமார் 3000 அடி உயர நீர்வீழ்ச்சி ஏற்காட்டின் சிறப்புக்கு மேலும் சிறப்பு சேர்த்து வருகிறது.
TMTUD1020	இந்த நீர்வீழ்ச்சியைச் சுற்றிலும் ஏராளமான இயற்கைக் காட்சிகள் நிறைந்து காணப்படுகிறது.
TMTUD1021	சேர்வராயன் மலையின் உச்சியில் அமைந்துள்ளது சேர்வராயன் கோயிலாகும்.
TMTUD1022	இங்கு ஒவ்வொரு ஆண்டும் மே மாதம் நடைபெறும் திருவிழாவில் ஏராளமான பக்தர்களும், சுற்றுலா வரும் பயணிகளும் பங்கேற்பர்.
TMTUD1023	ஏப்ரல், மே மாதங்களில் இங்கு மலர்க்கண்காட்சி நடைபெறும்.
TMTUD1024	ஏற்காடு அடிவாரத்தில் குருவம்பட்டி உயிரியல் பூங்கா உள்ளது. ஏற்காடு செல்வோர் இங்கும் சென்று வரலாம்.
TMTUD1025	ஏராளமான கருப்பு வெள்ளை திரைப்படங்கள் ஏற்காட்டை சுற்றியுள்ள பகுதிகளில் எடுக்கப்பட்டவையே.
TMTUD1026	மாடர்ன் தியேட்டர்ஸ் நிறுவனம் அதன் அடிவாரப் பகுதியில் அமைந்திருந்தது.
TMTUD1027	தற்போது அந்தப் பகுதி இடிக்கப்பட்டு குடியிருப்புப் பகுதியாக மாற்றப்பட்டு விட்டாலும், ஸ்டுடியோவின் முகப்புப் பகுதி மட்டும் அப்படியே பாதுகாக்கப்படுகிறது.
TMTUD1028	இது சினிமா ஆர்வலர்கள் அவசியம் காண வேண்டிய இடம் என்றும் கூறலாம்.
TMTUD1029	ஏற்காடு செல்வோர் பஸ் அல்லது ரயில் மூலம் சேலம் வந்து அங்கிருந்து மலைக்குச் செல்லும் சிறப்புப் பேருந்தில் பயணம் செய்யலாம்.
TMTUD1030	ஏற்காட்டில் ஒரு சில தங்கும் விடுதிகள் உள்ளன. சேலம் நகரில் குறைந்த வாடகையிலும் அறை வசதிகள் உள்ளன.
TMTUD1031	மேலும் விவரங்களை தெரிந்துகொள்ள அங்குள்ள சுற்றுலாத் துறை அலுவலகத்தின் தொலைபேசி எண் 416449 என்ற எண்ணுக்கும், 413066 என்ற எண்ணுக்கும் தொடர்பு கொண்டு கேட்டறிந்து கொள்ளலாம்.
TMTUD1032	ஆக்ராவிலுள்ள தாஜ்மகால், டில்லி செங்கோட்டை, இந்தியா கேட், காஷ்மீர் தால் ஏரி உட்பட, 98 சுற்றுலாத் தலங்களை, சுத்தம் மற்றும் சுகாதாரம் நிறைந்த பகுதிகளாக மாற்ற, மத்திய சுற்றுலாத் துறை முடிவு செய்துள்ளது.
TMTUD1033	பல்வேறு நாடுகளில் இருந்து, நம் நாட்டுக்கு, 60 லட்சம் சுற்றுலாப் பயணிகள், தற்போது வருகின்றனர்.
TMTUD1034	இதை, இரு மடங்காக அதிகரிக்க, மத்திய சுற்றுலாத் துறை முடிவு செய்துள்ளது. இதுகுறித்து, மத்திய சுற்றுலாத் துறை அமைச்சர் சுபோத்காந்த் சகாய், ’’நடப்பு 12வது ஐந்தாண்டு திட்டத்தில், இரு திட்டங்கள் அமல்படுத்தப்பட உள்ளன.
TMTUD1035	முதல் திட்டம், நம் நாட்டிற்கு வரும் வெளி நாட்டு சுற்றுலாப் பயணிகள் எண்ணிக்கையை அதிகரிப்பது.இரண்டாவது, நாடு முழுவதும் உள்ள சுற்றுலாத் தலங்களில், சுற்றுலாப் பயணிகளுக்கு, தரமான சேவைகளை வழங்குவது என்பதாகும்.
TMTUD1036	இதன்படி, வெளிநாட்டு சுற்றுலாப் பயணிகள், அதிகளவில் வரும் இடங்களில், சுத்தம் மற்றும் சுகாதாரத்தை மேம்படுத்துவது, அப்பகுதிகளில் சுகாதாரம் நிறைந்த சூழலை உருவாக்குவது, 24 மணி நேரமும், அப்பகுதிகளை சுத்தமாக வைத்திருப்பது, வாகனங்கள் நிறுத்துமிடம், கழிப்பறைகளில் பராமரிப்பு பணிகளை மேற்கொள்வது ஆகியவற்றில், சிறப்பு கவனம் செலுத்தப்படும்.
TMTUD1037	தலைநகர் டில்லியில், இந்தியா கேட், கன்னாட் பிளேஸ், சாந்தினி சவுக், தாமரை கோவில், ஜந்தர்மந்தர், ராஜ்காட், புரானா குல்லா, சப்தர்ஜங் டோம்ப் என, 14 சுற்றுலாத் தலங்கள் உள்ளன.
TMTUD1038	இவை தவிர, ஆக்ராவில், தாஜ்மகால், காஷ்மீரில் தால் ஏரி, ஒடிசாவில் கோனார்க், கேரளாவில் கோவளம் கடற்கரை என, 98 பகுதிகள் உள்ளன.
TMTUD1039	இவற்றை எல்லாம், சுத்தம், சுகாதாரமாக வைத்திருக்க, நடவடிக்கை எடுக்கப்படும்.
TMTUD1040	இந்தப் பணியில், பொதுத் துறை நிறுவனங்கள், கம்பெனிகள் மற்றும் அரசு சார்பற்ற அமைப்புகளும், சேர்த்துக் கொள்ளப்படும்’’என்று தெரிவித்தார்.
TMTUD1041	ஆசியாவின் மிகச்சிறந்த சுற்றுலாத் தலங்கள் வரிசையில், கேரளாவின் மூணாறு இரண்டாம் இடத்தைப் பெற்றுள்ளது.
TMTUD1042	ஜப்பானின் தலைநகர் டோக்கியோ இந்தப் பட்டியலில் முதலிடம் பெற்று உள்ளது.
TMTUD1043	கேரளாவில் பல்வேறு சுற்றுலாத் தலங்களில், இயற்கையின் முகம் மாறி வருகிறது.
TMTUD1044	ஆனால் மரங்கள் சூழ்ந்த மலைப்பகுதியான மூணாறில் அருவிகள், நீரோடைகளுக்கு குறைவு இல்லை.
TMTUD1045	மூணாறு இப்போது "அட்வென்சர் டூரிசம்" எனப்படும் சாகச சுற்றுலாப் பயணிகளுக்கு ஏற்ற இடமாகவும் உள்ளது.
TMTUD1046	கண்ணுக்கு எட்டிய வரை மூணாறில் எங்கு பார்த்தாலும் உள்ள தேயிலைத் தோட்டங்கள், சுற்றுலாப் பயணிகளை அதிகம் கவர்கின்றன.
TMTUD1047	முதல் தர வரிசைப்பட்டியலில் தர்மசாலா, பெங்களூரு, கேங்டாக், உதய்ப்பூர், கோவா, ஹம்பி, அந்தமான், குலு, மணாலி ஆகியவை இந்தியாவின் சார்பில் இடம் பெற்றிருந்தன. இவற்றில் மூணாறு மட்டுமே தேர்ந்தெடுக்கப்பட்டுள்ளது.
TMTUD1048	வால்பாறை – வாழ்க்கையில் ஒரு முறையாவது போய் வர வேண்டிய சுற்றுலாத் தலம். வால்பாறை : கோயம்புத்தூர் மாவட்டத்தில் இருக்கும் ஒரு நகராட்சி ஆகும்.
TMTUD1049	வால்பாறையை வார்த்தைகளால் வர்ணிக்க இயலாது! கண்ணுக்கு எட்டிய தூரம் வரை மேடு பள்ளங்களாக அந்த மலைப்பகுதியில் எங்கு நோக்கினும் பச்சை பசேலென்று கம்பளி போர்த்தப்பட்டது போல தேயிலைத் தோட்டங்கள்.
TMTUD1050	அதிகாலையில் பனி மூட்டம் மூடியிருக்கும் வேளையிலும் மழைக்காலங்களில் மேகங்கள் உருவாகி தேயிலைத் தோட்டங்களைத் தழுவிச் செல்லும் காட்சி கண்ணுக்கு விருந்து, நெஞ்சிற்கு சுகம், கற்பனைக்கு ஊற்று.
TMTUD1051	தேயிலைத் தோட்டங்களுக்கு இடையே ஓடும் ஒரு நதி, பல திரைப்படங்களில் பாடல் காட்சிகளில் இடம்பெற்ற இடம்.
TMTUD1052	இங்குள்ள தோட்டங்களுக்கு இடையே ஒரு பெருமாள் கோயிலும் உண்டு.
TMTUD1053	மலையின் உச்சியில் அழகாகக் கட்டப்பட்டுள்ள அக்கோயிலில் சுவாமி தரிசனத்திற்குப் பின்னர் இரண்டு மூன்று மணி நேரம் அமைதியாகக் கழிக்கலாம்.
TMTUD1054	இப்பகுதிகளில் நாம் நகரங்களில் காணும் அணில் செந்நிறத்தில் இருப்பதை காணலாம்.
TMTUD1055	அந்த அணில்களின் படங்கள் கூட அரியதாக இருக்கிறது.
TMTUD1056	தேயிலைத் தோட்டங்களுக்கு இடையே மான் குட்டிகள் துள்ளி ஒடும் காட்சியும் அருமையானது.
TMTUD1057	வால்பாறை அழகை ரசித்துவிட்டு பொள்ளாச்சியை நோக்கி இறங்கும் மலைப்பாதை 30க்கும் அதிகமான கொண்டை ஊசி வளைவுகளைக் கொண்டது.
TMTUD1058	ஒரு இருபது வளைவுகளைக் கடந்த பின்னர் கீழேயுள்ள ஆழியாறு அணையின் எழிலைக் காணலாம். அற்புதமான காட்சி அது.
TMTUD1059	ஆழியாறை நெருங்குவதற்கு முன்பு வண்டியை நிறுத்துங்கள். அங்கு ஓர் அருவி உள்ளது.
